Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
106,2021-02-19,15000.0,1978,29.5,9.5,5.5,Michigan,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,15000.0
107,2021-02-18,40000.0,2007,36.0,12.0,5.8,Outside United States,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,40000.0
108,2021-02-18,7000.0,1982,27.0,8.8,4.0,Florida,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2021,7000.0
109,2021-02-18,55000.0,1975,42.0,14.0,5.0,Texas,fiberglass,monohull,cruiser,2.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2021,55000.0
110,2021-02-18,89500.0,1996,38.0,12.0,5.5,Rhode Island,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,89500.0
111,2021-02-17,9000.0,1981,27.0,8.8,4.0,California,fiberglass,monohull,daysailer,1.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2021,9000.0
113,2021-02-17,88000.0,1982,42.0,12.0,7.0,Connecticut,wood,monohull,racer,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,88000.0
114,2021-02-16,14000.0,2010,18.75,8.33,5.74,California,fiberglass,monohull,racer,1.0,1,0,0,0,0,1,0,0,0,outboard,1,0,2021,14000.0
115,2021-02-15,60000.0,1975,38.0,12.0,5.6,Rhode Island,fiberglass,monohull,daysailer,1.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2021,60000.0
118,2021-02-15,42000.0,1983,40.0,12.0,5.0,Florida,fiberglass,monohull,cruiser,2.0,1,1,0,1,0,0,1,0,0,inboard,1,1,2021,42000.0
119,2022-05-24,8000.0,1971,33.0,10.0,5.0,California,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2022,8000.0
123,2021-02-12,19000.0,1981,30.0,10.7,5.2,Washington,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,19000.0
