Length,Year,Beam,Draft,Is_Mono,Is_Diesel,Engine_Count,Cabins,Is_Inboard,Year_Listed,Is_Fiberglass,Is_cruiser,Is_daysailer,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat
30.0,1975,9.6,5.0,1,0,1,1.0,1,2018,1,0,0,1,0,0,0,0,1,0
33.0,1974,11.0,5.5,1,0,1,1.0,1,2012,1,0,0,1,0,0,0,0,1,0
27.0,1977,9.0,4.0,1,0,1,2.0,0,2018,1,1,0,1,0,0,0,0,1,0
16.6,1981,6.2,4.0,1,0,0,0.0,0,2015,0,0,0,0,0,0,1,0,0,0
23.0,1974,7.4,4.0,1,0,1,1.0,0,2016,1,0,1,0,0,0,0,0,1,0
25.5,1984,9.08,4.5,1,0,1,1.0,0,2022,1,1,0,0,0,0,0,0,1,0
26.0,1980,8.0,4.0,1,0,1,1.0,0,2016,1,0,0,1,0,0,1,0,0,0
26.0,1981,8.2,4.1,1,1,1,1.0,1,2016,0,0,0,1,0,0,0,0,1,0
19.17,1961,7.0,3.25,1,0,0,0.0,0,2021,1,0,1,0,0,0,0,0,0,1
26.0,1976,8.0,5.4,1,0,1,1.0,0,2011,1,1,0,1,0,0,1,0,0,0
29.0,1988,10.2,3.6,1,1,1,2.0,1,2019,1,1,0,0,1,0,1,0,0,0
42.0,1986,12.5,6.0,1,1,1,2.0,1,2019,1,1,0,0,1,0,0,0,1,0
25.0,1993,8.4,2.7,1,0,1,2.0,0,2022,1,1,0,0,0,0,0,0,0,0
32.0,1975,10.6,3.9,1,1,1,2.0,1,2021,1,1,0,0,1,0,0,0,1,0
28.5,1997,9.5,4.5,1,1,1,2.0,1,2022,1,1,0,1,0,0,1,0,0,0
40.0,2000,12.9,5.6,1,0,0,3.0,0,2012,1,1,0,0,0,0,1,0,0,0
25.0,1982,8.0,4.0,1,0,1,2.0,0,2014,1,1,0,1,0,0,0,0,1,0
27.0,1983,9.3,4.0,1,1,1,1.0,1,2022,1,1,0,1,0,0,0,0,1,0
26.0,1998,8.0,2.0,1,0,1,1.0,0,2016,1,0,1,0,0,0,0,0,1,0
52.6,1978,9.5,6.5,1,1,1,3.0,1,2022,1,0,0,1,0,0,0,0,0,1
27.0,1972,8.83,4.0,1,1,1,1.0,1,2015,1,1,0,1,0,0,0,0,1,0
23.0,1973,8.0,3.0,1,0,1,2.0,0,2011,1,0,1,1,0,0,0,1,0,0
43.0,1991,12.0,6.0,1,1,1,3.0,1,2014,1,1,0,0,1,0,0,0,1,0
43.14,2007,12.93,5.58,1,1,1,3.0,1,2017,1,1,0,1,0,0,0,0,1,0
33.0,1979,12.0,5.7,1,1,1,2.0,1,2020,1,1,0,0,0,0,0,0,1,0
22.0,1989,8.0,4.5,1,0,0,1.0,0,2013,1,0,0,0,0,0,0,0,1,0
35.5,1964,10.0,4.6,1,1,1,1.0,1,2017,0,1,0,1,0,0,0,0,0,0
27.0,1979,9.0,4.0,1,1,1,1.0,1,2013,1,1,0,1,0,0,1,0,0,0
42.0,1976,13.0,5.7,1,1,1,2.0,1,2021,1,1,0,1,0,0,1,0,0,0
26.0,1986,8.0,3.0,1,0,1,1.0,0,2017,1,0,1,0,1,0,0,0,1,0
25.5,1984,9.08,4.5,1,0,1,1.0,0,2017,1,0,1,0,0,0,0,0,1,0
30.0,1982,11.6,5.0,1,1,1,1.0,1,2021,1,1,0,0,0,0,0,0,1,0
43.6,2005,14.5,6.3,1,1,1,3.0,1,2018,1,1,0,1,0,0,1,0,0,0
32.0,1979,10.0,4.2,1,1,1,2.0,1,2019,1,1,0,1,0,0,0,0,1,0
30.0,1972,10.0,5.3,1,0,1,1.0,1,2015,1,0,0,1,0,0,0,0,1,0
29.0,1990,11.0,4.0,1,1,1,2.0,1,2013,1,1,0,0,0,0,1,0,0,0
39.0,2006,12.0,6.5,1,1,1,4.0,1,2013,1,1,0,1,0,0,1,0,0,0
36.0,1989,9.0,6.0,1,1,1,2.0,1,2016,1,1,0,1,0,0,0,0,1,0
27.0,1987,17.0,3.0,1,0,1,1.0,0,2015,1,1,0,1,0,0,0,0,0,1
23.0,1997,8.0,2.3,1,0,1,1.0,0,2022,1,1,0,0,0,0,0,0,1,0
28.0,1969,9.0,2.5,1,1,1,2.0,1,2022,1,1,0,1,0,0,0,0,1,0
34.0,1986,11.6,4.3,1,1,1,2.0,1,2021,1,0,1,1,0,0,0,0,1,0
30.0,1988,11.0,5.0,1,1,1,2.0,1,2021,1,1,0,1,0,0,0,0,1,0
27.0,1978,9.0,4.6,1,1,1,1.0,1,2016,1,1,0,0,0,0,1,0,0,0
27.0,1975,7.0,3.0,1,0,1,1.0,1,2015,1,1,0,1,0,0,0,0,1,0
36.0,2004,12.0,5.0,1,1,1,2.0,1,2022,1,1,0,0,0,0,1,0,0,0
20.0,1976,7.5,2.5,1,0,1,1.0,0,2022,1,1,0,1,0,0,0,0,1,0
32.5,1965,9.3,4.6,1,1,1,1.0,1,2014,1,1,0,1,0,0,1,0,0,0
15.42,1975,4.58,2.5,1,0,0,0.0,0,2017,1,0,0,0,0,0,0,1,0,0
45.0,1980,13.0,6.8,1,1,1,3.0,1,2019,1,0,0,0,0,1,1,0,0,0
35.0,1973,10.8,5.0,1,1,1,3.0,1,2017,1,1,0,1,0,0,0,0,1,0
36.0,1977,13.0,5.5,1,1,1,1.0,1,2019,1,1,0,1,0,0,0,0,0,0
26.0,1998,8.0,4.0,1,0,1,1.0,0,2013,1,0,0,1,0,0,1,0,0,0
25.0,1978,8.0,3.5,1,1,1,1.0,1,2022,1,0,1,1,0,0,0,0,0,1
22.92,1976,7.96,3.67,1,0,2,1.0,0,2014,1,0,0,0,0,0,0,0,1,0
30.0,1968,5.0,4.0,1,0,0,1.0,0,2012,0,0,0,0,0,0,1,0,0,0
41.0,1974,11.25,4.11,1,1,1,1.0,1,2012,1,1,0,1,0,0,0,0,1,0
27.0,1976,9.0,4.0,1,0,1,1.0,1,2018,1,1,0,1,0,0,0,1,0,0
43.0,2002,12.5,6.5,1,1,1,3.0,1,2018,1,1,0,1,0,0,0,0,1,0
36.0,1984,10.8,5.0,1,1,1,2.0,1,2022,1,1,0,0,0,0,0,0,0,0
38.0,1978,12.0,5.7,1,1,1,2.0,1,2014,1,1,0,0,0,0,0,1,0,0
35.0,1984,12.0,5.0,1,1,1,1.0,1,2015,1,0,0,1,0,0,1,0,0,0
34.0,1986,11.4,6.0,1,1,1,2.0,1,2016,1,1,0,1,0,0,1,0,0,0
32.0,1982,11.0,5.0,1,1,1,2.0,1,2021,1,1,0,0,1,0,0,0,1,0
27.0,1985,9.5,4.2,1,1,1,2.0,1,2014,1,0,0,1,0,0,1,0,0,0
35.0,1977,11.0,3.9,1,1,1,1.0,1,2020,1,1,0,1,0,0,0,0,1,0
38.7,1999,12.11,5.4,1,0,1,2.0,1,2018,1,1,0,0,0,0,0,0,1,0
23.5,1988,8.0,2.5,1,0,1,1.0,0,2022,1,0,1,1,0,0,0,0,1,0
37.0,1979,12.0,5.0,1,1,1,2.0,1,2022,1,1,0,0,1,0,0,0,1,0
39.0,1956,11.6,6.0,1,1,1,2.0,1,2015,0,1,0,0,0,1,0,0,1,0
