Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Capital Yachts Newport MKII,22-May-2011,"$22,500",1 diesel inboard,1981,30',9',4'9',Texas,fiberglass,monohull,cruiser,cutter,2.0,excellent
Macgreger 25ft drop keel,22-May-2011,"$6,000",1 gas outboard,197,25',',',Michigan,fiberglass,monohull,cruiser,ketch,1.0,good
Tanzer Tanzer 26,21-May-2011,"$9,000",1 gas outboard,1982,26',8'8',3'10',Outside United States,fiberglass,monohull,cruiser,,1.0,good
Pearson Daysailer,20-May-2011,"$6,500", gas outboard,1976,26',8' 8',4'',New York,fiberglass,monohull,,schooner,,good
Sabre Mark II,20-May-2011,"$32,900",1 diesel inboard,1986,30',10.3',4',New Jersey,fiberglass,monohull,cruiser,masthead sloop,2.0,good
William J Clements Nord Vinden,20-May-2011,"$9,000",,1988,13',4',2',Virginia,wood,monohull,daysailer,yawl,,excellent
79 Cal 39',19-May-2011,"$35,000",1 diesel inboard,1979,39',12',7',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Morgan 30-2,19-May-2011,"$7,500",1 gas inboard,1970,30',11.5',5',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Ranger Sailboat,18-May-2011,"$12,000",1 gas inboard,1971,29',9.9',4.6',North Carolina,fiberglass,monohull,racercruiser,ketch,3.0,fair
TARTAN 30,17-May-2011,"$9,000",1 gas inboard,1979,30',',',Florida,fiberglass,monohull,,masthead sloop,,good
Caliber 38,17-May-2011,"$137,500",1 diesel inboard,1990,38',12.5',5',North Carolina,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Tanzer 22,16-May-2011,"$3,500",1 gas outboard,1981,22',',2',New York,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Tiltson Pearson J24,16-May-2011,"$6,500",,1978,24',',4',Florida,fiberglass,monohull,racercruiser,,,excellent
Irwin Sloop,04-Jul-2022,"$39,000",1 diesel inboard,1971,43.8',11.5',4.3',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
 Dreadnaught 32',12-May-2011,"$10,000",1 diesel inboard,1976,32',10',5',Florida,fiberglass,monohull,cruiser,cutter,,project boat
clipper marine clipper 26,12-May-2011,"$7,000",1 gas outboard,1976,26',8',5'-4',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Catalina 1983 Tall Rig Pop Top Fixed Keel,12-May-2011,"$11,000",1 gas outboard,1983,25',8.7',4.8',Michigan,fiberglass,monohull,cruiser,fractional sloop,1.0,excellent
js js9000,12-May-2011,"$30,000",,2003,30',6',7',Illinois,fiberglass,monohull,daysailer,fractional sloop,0.0,good
Sabre ,12-May-2011,"$8,500",1 gas inboard,1974,28',9.5',4.3',Maryland,fiberglass,monohull,,,,
pearson 30,11-May-2011,"$7,500",1 diesel inboard,1971,30',9.5',5',New Hampshire,fiberglass,monohull,,cutter,1.0,good
Malo 39,11-May-2011,"$255,000",1 diesel inboard,1996,39.6',12.3.',5.5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Velero 30,09-May-2011,"$36,000",1 diesel inboard,1981,30',11',5.5',Outside United States,fiberglass,monohull,,fractional sloop,2.0,excellent
Hughes Hughes 25,06-May-2011,"$5,800",1 gas outboard,1971,25',7'-6',3',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Cooper 316,05-May-2011,"$44,000",1 diesel inboard,1983,31',"10'5""'","5'5""'",Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Catalina 25 WK,03-May-2011,"$6,800",1 gas outboard,1983,25',8',4',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
 22Ft BLUE MOON YAWL,03-May-2011,"$40,000",1 diesel inboard,2008,22'96',8'85',4'20',,wood,monohull,cruiser,yawl,1.0,good
Cape Dory 27',02-May-2011,"$28,500",1 diesel inboard,1979,27',8'6',4',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Cape Dory,02-May-2011,"$28,500",1 diesel inboard,1979,27',8'6',4',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Ericson sloop,01-May-2011,"$9,000",1 diesel inboard,78,27',11',3'11',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
CL 14,29-Apr-2011,"$5,969",,2010,14.2',13.6',3.5',Florida,fiberglass,monohull,daysailer,masthead sloop,0.0,new
Geerd Hendel Whistler,28-Apr-2011,"$8,350",1 gas outboard,1939,28',9',6',Maine,aluminum,monohull,cruiser,masthead sloop,,project boat
canadian sailcraft cs 27,27-Apr-2011,"$8,000",1 diesel inboard,1976,27',10',5',Florida,fiberglass,monohull,racercruiser,masthead sloop,1.0,good
amc paceship,27-Apr-2011,"$6,000",1 gas inboard,1977,26',10',2.56',Wisconsin,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Motorsailor - trawler charter boat,26-Apr-2011,"$75,000",1 diesel inboard,1953,75',14.5',6.2',Outside United States,other,monohull,motorsailer,ketch,3.0,good
Pelican Boat Works San Francisco Pelican,26-Apr-2011,"$6,200",,2011,12.2',6.1',4',Florida,wood,monohull,daysailer,fractional sloop,,new
S2 Yachts 8 Meter B,26-Apr-2011,"$5,000",1 gas inboard,1977,26',8',4',New York,fiberglass,monohull,,,1.0,fair
Freedom F21,25-Apr-2011,"$5,000",1 gas outboard,1984,21',',4',Michigan,fiberglass,monohull,cruiser,cat boat,2.0,excellent
Jeanneau Sunrise,25-Apr-2011,"$60,000",1 diesel inboard,1986,34',12',6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
CAL T2 ,21-Apr-2011,"$6,000",1 gas outboard,1971,27',9',5',Virginia,fiberglass,monohull,motorsailer,masthead sloop,1.0,good
PRECISION Precision Sloop,21-Apr-2011,"$7,500",1 gas outboard,1991,18',"7'5""'","4'3""'",New York,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
tylercraft tylercraft 26,20-Apr-2011,"$7,500",0 gas outboard,1974,26',8',"30""'",California,fiberglass,monohull,cruiser,fractional sloop,2.0,
