Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Watkins ,17-Apr-2013,"$12,500",2 diesel inboard,1979,27',10'4',3'9',Florida,fiberglass,monohull,daysailer,masthead sloop,2.0,good
Honner Drascombe,17-Apr-2013,"$3,000",0 gas inboard,,18.5',',',Florida,fiberglass,monohull,daysailer,other,0.0,project boat
Pearson 303,16-Apr-2013,"$22,000",1 diesel inboard,1983,30' 3',10.9'',"4.5""'",Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Griffin Classic Boats Christmas Cove Hodgdon  21,16-Apr-2013,"$19,000",0 gas inboard,2008,21',5'9',3'5',Outside United States,composite,monohull,daysailer,fractional sloop,0.0,excellent
Gerard Star,16-Apr-2013,"$2,500",,1981,22',4',3',New Hampshire,fiberglass,monohull,racercruiser,,,good
Beneteau oceanis44cc,16-Apr-2013,"$110,000",1 diesel inboard,1997,44',13',6',,fiberglass,monohull,cruiser,cutter,3.0,excellent
Fiskars of Finland Finnsailer,15-Apr-2013,"$48,000",1 diesel inboard,1972,35',10.6'',3'8',Outside United States,fiberglass,monohull,motorsailer,masthead sloop,1.0,good
Hunter 40.5,15-Apr-2013,"$82,000", diesel inboard,1995,41',13.4',6.3',Maryland,fiberglass,monohull,cruiser,fractional sloop,0.0,good
Able Shipyard Able 20,14-Apr-2013,"$5,000",1 gas outboard,1978,20',7.3',2.5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,1.0,good
O'Day 272,14-Apr-2013,"$8,000",1 gas outboard,1986,27',9',2'11',Massachusetts,fiberglass,monohull,cruiser,,,excellent
Hunter 41,13-Apr-2013,"$120,000",1 diesel inboard,,40',13',5',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Pearson 32,13-Apr-2013,"$24,500",1 diesel inboard,1979,32',10'6',5'6',California,fiberglass,monohull,cruiser,masthead sloop,2.0,good
MacGreggor 26X,11-Apr-2013,"$18,000",1 gas outboard,2003,26',7'10',9',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Hunter 26.5,11-Apr-2013,"$11,900",1 gas outboard,1988,26.5',9',3' 6',Georgia,fiberglass,monohull,,fractional sloop,,
ALOHA 8.5,11-Apr-2013,"$14,500",1 diesel inboard,1983,28',9.5',4.4',Outside United States,fiberglass,monohull,motorsailer,masthead sloop,,good
wegu rubin,11-Apr-2013,"$4,500",1 gas outboard,1978,23',7.35',"34""'",Outside United States,fiberglass,monohull,racercruiser,masthead sloop,2.0,good
Pearson ,10-Apr-2013,"$13,950",1 gas inboard,1976,30',',',California,fiberglass,monohull,motorsailer,,2.0,excellent
Flying Scot ,09-Apr-2013,"$6,900",,2003,19',',',New Jersey,fiberglass,monohull,cruiser,,1.0,good
Catalina 27,09-Apr-2013,"$5,000", diesel inboard,1980,27',8.5',4',Connecticut,fiberglass,monohull,cruiser,,1.0,good
MacgreggorVenture ,08-Apr-2013,"$2,000",1 gas outboard,1970,22',8',2',New York,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina ,08-Apr-2013,"$9,500",1 gas outboard,1982,27',',4',Florida,fiberglass,monohull,cruiser,,,good
Catalina 22,08-Apr-2013,"$4,200", gas outboard,1982,22',',',Virginia,fiberglass,monohull,cruiser,,1.0,good
Mirage 33,07-Apr-2013,"$49,000",1 diesel inboard,1982,33',11.5',5.5',Outside United States,fiberglass,monohull,,masthead sloop,1.0,excellent
Precision 165,07-Apr-2013,"$6,000",,2001,16.5',"7' 2""'","1' 9""'",New York,fiberglass,monohull,cruiser,,1.0,excellent
Catalina 30,07-Apr-2013,"$17,900",1 diesel inboard,1984,30',10',5',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Beneteau 473 Oceanis Comodore Clipper,07-Apr-2013,"$220,000",1 diesel inboard,2005,48',14.6',7',Outside United States,fiberglass,monohull,cruiser,masthead sloop,4.0,excellent
Catalina Catalina 30,06-Apr-2013,"$16,900",1 gas inboard,1981,30',10.8',5.3',North Carolina,fiberglass,monohull,cruiser,masthead sloop,,good
Chrysler C22,06-Apr-2013,"$2,495",1 gas outboard,1977,22',7.75',3.75',Virginia,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hallberg Rassy HR 38,06-Apr-2013,"$114,000",1 diesel inboard,1979,38',12',6',,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 28 mk11,05-Apr-2013,"$69,000",1 diesel inboard,2006,29'10',10'4',5.16',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Paceship Acadian Yawl,03-Apr-2013,"$12,500",1 gas inboard,1970,30',8.5',4.3',Outside United States,fiberglass,monohull,cruiser,yawl,1.0,excellent
Irwin Mark 3,02-Apr-2013,"$4,200",1 gas inboard,1973,28.5',9.5',4',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Jeanneau 42 DS,01-Apr-2013,"$320,000",0 diesel inboard,2011,42.5',13.6',5.5',Florida,fiberglass,monohull,cruiser,,2.0,excellent
Hunter H-27,01-Apr-2013,"$16,000",1 diesel inboard,1979,27',',',Florida,fiberglass,monohull,cruiser,,,good
Mirage 27,01-Apr-2013,"$14,000",1 gas inboard,1980,27',9',4'6',New York,fiberglass,monohull,daysailer,masthead sloop,,excellent
San Juan 7.7,31-Mar-2013,"$3,200",,1974,26',',',Georgia,fiberglass,monohull,racercruiser,other,,good
Spirit 65 ,30-Mar-2013,"$2,500", gas outboard,1980,21',7.6',1.8',Wisconsin,fiberglass,monohull,other,masthead sloop,,good
Erickson Sloop,29-Mar-2013,"$14,900",1 diesel inboard,1972,39',11'4',5'',Florida,fiberglass,monohull,motorsailer,masthead sloop,2.0,good
catalina yachts ,28-Mar-2013,"$15,000",1 diesel inboard,1980,30',11',4',Florida,fiberglass,monohull,daysailer,,,good
Performance Cruising Telstar Trimaran,28-Mar-2013,"$59,000",1 gas outboard,2006,28.5',18',1.5',California,fiberglass,trimaran,cruiser,fractional sloop,1.0,good
O'Day Sloop,28-Mar-2013,"$4,600",1 gas outboard,1975,25',8',2'10',Florida,fiberglass,monohull,daysailer,masthead sloop,2.0,good
Marine Innovators Sandpiper 32,28-Mar-2013,"$11,000",1 gas outboard,1978,32',8',2',North Carolina,fiberglass,monohull,cruiser,,1.0,good
J Boats Classic J24,28-Mar-2013,"$4,700", gas inboard,1979,24',',',Georgia,fiberglass,monohull,motorsailer,,,good
Hobie Cat Aqua Cat,28-Mar-2013,$995,,1986,14',',',Georgia,composite,catamaran,daysailer,,,excellent
Hunter Marine hunter 23,28-Mar-2013,"$3,950",,1985,23',',',Georgia,fiberglass,monohull,motorsailer,,,good
J boats J 24 Racing Sailboat,28-Mar-2013,"$3,900",1 gas outboard,1979,24',',',Georgia,fiberglass,monohull,motorsailer,,,excellent
buccaneer ,28-Mar-2013,"$2,950", gas inboard,1977,20',',',Georgia,fiberglass,monohull,motorsailer,,,fair
1979 Com-Pac 16 com-pac,28-Mar-2013,"$2,950", gas outboard,1979,16',',',Georgia,fiberglass,monohull,motorsailer,,,good
O'Day 222,28-Mar-2013,"$3,500", gas inboard,1987,',',',Georgia,fiberglass,,motorsailer,,,good
Cougar Beach Cat,29-May-2022,"$7,500",1 other outboard,1963,19',8',1',Florida,fiberglass,catamaran,daysailer,cat boat,,excellent
Hardin Island Trader,29-May-2022,"$159,000",1 diesel inboard,1981,45',13.4',5.5',Florida,fiberglass,monohull,cruiser,ketch,4.0,excellent
 E Scow,28-May-2022,"$3,000",,1991,28',',',New Jersey,fiberglass,monohull,racer/cruiser,scow,,
Capri 25,29-May-2022,"$5,700",1 gas outboard,1980,25',9.2',4.2',Wisconsin,fiberglass,monohull,daysailer,masthead sloop,,good
Pearson Triton,28-May-2022,"$6,000",1 gas outboard,1984,25',8',5',Alabama,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Edel 820,28-May-2022,"$9,000", diesel inboard,1980,27',9.67',4.5',Outside United States,fiberglass,monohull,daysailer,fractional sloop,,good
Morgan 415,27-May-2022,"$50,000",1 diesel inboard,1978,41',',',Florida,fiberglass,monohull,,ketch,2.0,good
O'day Sailboat,27-May-2022,"$24,900",1 diesel inboard,1986,31',10.75',5.25',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Seafarer 36 C,27-May-2022,"$42,000",1 diesel inboard,1971,36',10.5',4.5',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
S2 Yachts 9.2A,28-May-2022,"$17,000",1 diesel inboard,1977,30',10.25',5',New Jersey,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Fisher Pilothouse Ketch,27-May-2022,"$54,500",1 diesel inboard,1978,30',9'6',4'3',Massachusetts,fiberglass,monohull,cruiser,ketch,,
Macgregor ,27-May-2022,"$18,000", gas inboard,,26',',',Florida,fiberglass,monohull,cruiser,,,
Tillotson Pearson Freedom 40 aft cockpit,27-May-2022,"$20,000",1 diesel inboard,1978,40',12',59',Florida,fiberglass,monohull,cruiser,ketch,2.0,fair
Boston Whaler Harpoon,26-May-2022,"$1,600", gas inboard,1982,15',6.7',0-3.4',Massachusetts,fiberglass,monohull,cruiser,fractional sloop,,good
Catalina 30 Mark II,28-May-2022,"$19,000",1 diesel inboard,1988,30',10.83',5.25',Massachusetts,fiberglass,monohull,cruiser,other,2.0,good
Ericson 34,26-May-2022,"$48,000",1 diesel inboard,1987,34.92',11.33',4.92',Wisconsin,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,excellent
Caliber 40,26-May-2022,"$120,000",1 diesel inboard,1994,40',12.67',5.08',Hawaii,fiberglass,monohull,cruiser,cutter,2.0,good
Beneteau Oceanis 281,26-May-2022,"$39,900",1 diesel inboard,1996,28.5',9.5',4',Florida,fiberglass,monohull,cruiser,masthead sloop,,good
HALBERG-RASSY RASMUS 35,26-May-2022,"$49,900",1 diesel inboard,1972,35',10',4'3',North Carolina,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Manuel Campos Cutter,26-May-2022,"$21,000",1 diesel inboard,1934,35',12',9',Washington,wood,monohull,cruiser,cutter,1.0,good
Tayana Custom 52,25-May-2022,"$385,000",1 diesel inboard,1988,52',15',6.5',Maryland,fiberglass,monohull,cruiser,masthead sloop,4.0,good
Catalina 320,25-May-2022,"$54,900",1 diesel inboard,1997,32'6',11'9',4'3',Michigan,fiberglass,monohull,cruiser,,2.0,good
Beneteau Oceanis 40 CC,26-May-2022,"$99,000",2 diesel inboard,1999,40',13',5.5',Florida,fiberglass,monohull,cruiser,cutter,2.0,good
Hutchins Compac 23 Mk ll,25-May-2022,"$4,900",1 gas outboard,1984,24',8',23',New Jersey,fiberglass,monohull,daysailer,masthead sloop,2.0,good
Hunter 29.5,26-May-2022,"$34,500",1 diesel inboard,1995,29.5',10.5',4',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina MK 1,25-May-2022,"$54,900",1 diesel inboard,1989,36',11'11',4'5',Maryland,fiberglass,monohull,racer/cruiser,,2.0,
Tartan Tartan27,25-May-2022,"$5,000",1 gas outboard,1962,27',8',3',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Lagoon 52F,25-May-2022,"$1,199,900",2 diesel inboard,2020,52',23'8'',5'1'',Outside United States,fiberglass,catamaran,cruiser,,6.0,
Catalina 42 MKII,25-May-2022,"$145,000",1 diesel inboard,2000,42',14',6.6',California,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Beneteau Oceanis 430,25-May-2022,"$99,000",1 diesel inboard,1992,43',',',,fiberglass,monohull,cruiser,,4.0,good
Beneteau Oceanis 351,24-May-2022,"$59,500",1 diesel inboard,1997,35',12',5',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Morgan Morgan 416,09-Jun-2022,"$69,990",2 diesel inboard,1978,42',13',4',Louisiana,fiberglass,monohull,cruiser,ketch,3.0,excellent
Hunter 41 DS,25-May-2022,"$137,500",1 diesel inboard,2008,41',13.25',5',Maryland,fiberglass,monohull,motorsailer,,2.0,excellent
Endeavour Plan a,24-May-2022,"$29,000",1 diesel inboard,1980,37',',',Florida,fiberglass,monohull,cruiser,,1.0,good
Vanguard Laser,24-May-2022,"$4,500",,,14',',',Florida,fiberglass,monohull,dinghy,other,,
Custon made Catamarn,24-May-2022,"$125,000",2 gas outboard,2007,37',19',3.5',Florida,fiberglass,monohull,cruiser,,3.0,
Composite built SNS,24-May-2022,"$3,800",1 other outboard,2017,15',5.5',3',Washington,composite,monohull,daysailer,cat boat,,good
bayliner bucaneer 210,23-May-2022,"$3,500",0 gas outboard,1975,21',8',2',Washington,fiberglass,monohull,other,other,1.0,good
Windship 60,23-May-2022,"$599,900",1 diesel inboard,1989,60',',',Florida,fiberglass,monohull,,cutter,3.0,excellent
Catalina 30 MKII Tall Mast Bow Sprit,23-May-2022,"$34,800",1 diesel inboard,1988,30',10.83',5.5',Ohio,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,excellent
Irwin Citation 35,20-Jul-2022,"$49,900",1 diesel inboard,1986,35.25',11.5',4'8',North Carolina,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,excellent
Catalina Catalina 30,23-May-2022,"$19,000",1 diesel inboard,1978,30',10.10',5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
melges M-20,23-May-2022,$350,,1978,20-0',5'',8',Florida,fiberglass,monohull,racer,fractional sloop,,project boat
Pearson 323,23-May-2022,"$35,000",1 diesel inboard,1981,32.3',10.6',4.5',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
deutsche werft kreutzer,23-May-2022,"$46,000",1 diesel inboard,1948,30',10',5',Outside United States,steel,monohull,cruiser,fractional sloop,2.0,excellent
Leopard Robertson and Caine Leopard 45,08-Jun-2022,"$959,000",2 diesel inboard,2020,45',24',5',North Carolina,fiberglass,catamaran,cruiser,cat boat,3.0,excellent
Marshall Marine Catboat,23-May-2022,"$8,250",1 gas outboard,1970,17.5',8.5',1.58',Massachusetts,fiberglass,monohull,daysailer,cat boat,1.0,good
O'Day Corp O'Day 322,24-May-2022,"$16,500",1 diesel inboard,1987,32',10.7',4.2',New York,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Bristol 27,23-May-2022,"$7,500",1 diesel inboard,1976,27',8',4',Massachusetts,fiberglass,monohull,cruiser,,,excellent
Flying Scot Flying Scot,24-May-2022,"$8,700",,1995,19',6.75',0.66',Maine,fiberglass,monohull,daysailer,fractional sloop,,excellent
Morgan 383,23-May-2022,"$39,990",1 diesel inboard,1983,38',12',5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Beneteau Oceanis 281,23-May-2022,"$35,000",1 diesel inboard,1997,28.5',9.5',4.5',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Contessa 39,23-May-2022,"$52,000",1 diesel inboard,1981,39',12.5',7.5',Washington,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
S2 7.9,23-May-2022,"$8,000",1 gas outboard,1982,25'11',9',',New York,fiberglass,monohull,racer/cruiser,fractional sloop,1.0,excellent
Mirage 5.5,25-May-2022,"$3,950",1 gas outboard,1981,20',8',1.3',New Jersey,fiberglass,monohull,cruiser,masthead sloop,0.0,good
hunter 28.5,22-May-2022,"$13,500",1 diesel inboard,1991,"28'5""'","10'6""'",4.0',Michigan,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Dickerson 37,22-May-2022,"$49,000", diesel inboard,1985,40',11.5',5',Rhode Island,fiberglass,monohull,cruiser,ketch,2.0,excellent
Morgan 30,22-May-2022,"$12,500",1 gas inboard,1970,29'11',9'3',3'6',Maine,fiberglass,monohull,cruiser,masthead sloop,,
SailboatTrailer Oday,22-May-2022,"$4,000",1 other inboard,1977,25',',2.3',New Jersey,fiberglass,monohull,cruiser,masthead sloop,,
Hobie Wave,21-May-2022,"$4,000",,2008,13',7',2',New York,composite,catamaran,other,cat boat,,good
Catalina 30,21-May-2022,"$15,000", diesel inboard,1987,30',',3.9',Virginia,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Hunter 290,21-May-2022,"$34,500",1 diesel inboard,2001,29',10'9',3',New Jersey,fiberglass,monohull,cruiser,fractional sloop,,good
Lancer 30,20-May-2022,"$12,000",1 diesel inboard,1979,29',10',5',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
S2 8.5,21-May-2022,"$2,500",1 diesel inboard,1981,28',9.6',4.6',Ohio,fiberglass,monohull,cruiser,masthead sloop,0.0,good
Tartan 34-2,20-May-2022,"$20,000",1 diesel inboard,1988,34',11',5',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Tremolino Boat Company Tremolino II Trimaran,21-May-2022,"$6,500",2 other outboard,1986,23',',1-4',Maryland,fiberglass,monohull,daysailer,fractional sloop,2.0,good
TPI Freedom 29,20-May-2022,"$16,000",1 diesel inboard,1986,29.0',10.8',5.5',New York,fiberglass,monohull,daysailer,cat boat,2.0,good
Hunter 320,21-May-2022,"$46,000",1 diesel inboard,2001,32',10.8',5',Florida,fiberglass,monohull,cruiser,schooner,2.0,excellent
MacGregor 26s,19-May-2022,"$9,900",1 gas outboard,1991,26',',',Arizona,fiberglass,monohull,,,,excellent
Watkins Seawolf 25,20-May-2022,"$6,000",1 gas outboard,1987,25',8',4',Illinois,fiberglass,monohull,daysailer,schooner,1.0,good
Interlake Interlake Sloop,27-Jul-2018,"$13,500",,1939,18',',',Michigan,wood,monohull,dinghy,other,,excellent
Hunter Cutter,27-Jul-2018,"$42,000",1 diesel inboard,1980,37',',',New York,fiberglass,monohull,cruiser,cutter,,excellent
Sabre Sabre 28,27-Jul-2018,"$21,000",1 diesel inboard,1977,28',9',4',New York,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Macgregor ,26-Jul-2018,"$5,000", gas outboard,,25',7',5',Georgia,fiberglass,monohull,cruiser,,1.0,excellent
Pearson Swing Keel,26-Jul-2018,"$7,000",1 gas outboard,1978,23',8',2'4',Washington,fiberglass,monohull,cruiser,,,excellent
Cabo Rico Pilothouse Cutter 42,26-Jul-2018,"$385,000",1 diesel inboard,2003,42',12.8',5.3',Washington,fiberglass,monohull,cruiser,cutter,2.0,excellent
Cheoy lee Frisco Flyer,26-Jul-2018,"$7,900",1 diesel inboard,1968,26',7.17',3.90',Washington,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Columbia 43 foot sloop,26-Jul-2018,"$43,000",1 diesel inboard,1970,43',12',7',Michigan,fiberglass,monohull,motorsailer,masthead sloop,2.0,good
Rawson 30 PH,26-Jul-2018,"$18,000",1 diesel inboard,1961,32',9',5',California,fiberglass,monohull,motorsailer,masthead sloop,1.0,excellent
 29er,25-Jul-2018,"$3,200",,1998,14.4',5' 7',',Connecticut,fiberglass,monohull,racer,fractional sloop,,excellent
Pearson Vanguard,25-Jul-2018,"$6,000", gas inboard,1964,32',9.5',4.5',South Carolina,fiberglass,monohull,cruiser,masthead sloop,,good
Cape Cod Shipbuilding Co Bull's Eye Sloop,25-Jul-2018,"$18,000",1 gas outboard,2013,15',6',2',New Hampshire,fiberglass,monohull,daysailer,fractional sloop,0.0,excellent
catalina 30,25-Jul-2018,"$14,500",1 diesel inboard,1975,30',10',"5' 6""'",Connecticut,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Marshall Catboat Marshall 22,25-Jul-2018,"$18,000",1 diesel inboard,1985,22',10',2',Florida,fiberglass,monohull,cruiser,,1.0,good
O'Day 22,24-Jul-2018,"$1,400",1 gas outboard,1973,22'',7'2',2'',New York,fiberglass,monohull,daysailer,masthead sloop,2.0,good
alubat ovni 385,24-Jul-2018,"$160,000",1 diesel inboard,2001,40',12.7',6.8',Outside United States,aluminum,monohull,cruiser,,2.0,good
HUNTER John Cherubini,24-Jul-2018,"$16,500",1 diesel inboard,1978,33',10.5',5.5',New Hampshire,fiberglass,monohull,cruiser,masthead sloop,1.0,good
O'Day Day Sailer II,24-Jul-2018,"$3,495",1 gas outboard,1978,17',6.25',.68',New York,fiberglass,monohull,daysailer,masthead sloop,,excellent
Percision Precision 21,23-Jul-2018,"$14,000",1 gas outboard,2003,21',8',2',North Dakota,fiberglass,monohull,cruiser,,1.0,
catalina tall boy,23-Jul-2018,"$4,000",1 diesel inboard,1978,30',10',5.8',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Pearson Commander,23-Jul-2018,"$15,500",1 gas outboard,1965,26',',4'10',Minnesota,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina 25,23-Jul-2018,"$8,500",1 gas outboard,1980,25',8',3',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
 Seafarer 38,23-Jul-2018,"$19,000",1 diesel inboard,1978,38',10'6',4'6',Ohio,fiberglass,monohull,cruiser,masthead sloop,2.0,good
S-2 S-2 9.1,23-Jul-2018,"$20,000",1 diesel inboard,1984,30',10.5',5.5',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
 Beachcomber Alpha Dory,23-Jul-2018,"$6,000",,1996,21',',',Tennessee,wood,monohull,daysailer,,,good
Catalina 25,23-Jul-2018,"$21,000",1 gas outboard,2008,25',',',Connecticut,fiberglass,monohull,cruiser,,,excellent
J-boats 24,23-Jul-2018,"$7,800",1 gas outboard,1979,24',',',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Vanguard Nomad 17,23-Jul-2018,"$6,000",,2008,17',',',Maryland,fiberglass,monohull,dinghy,other,,excellent
catalina 27,23-Jul-2018,"$8,500",1 diesel inboard,1987,27',9'',4.5'',Indiana,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 31,23-Jul-2018,"$14,900",1 diesel inboard,1983,31',10.92',5' 3',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hunter 27,23-Jul-2018,"$5,000",1 diesel inboard,1982,27',',4.5',New York,fiberglass,monohull,cruiser,other,0.0,good
Bayfield 29,22-Jul-2018,"$15,995",1 diesel inboard,1980,29',10',3.5',Wisconsin,fiberglass,monohull,cruiser,cutter,1.0,excellent
Catalina 36 MK II,21-Jul-2018,"$75,000",1 diesel inboard,1995,36',11.5',4.4',Indiana,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
HUNTER POP TOP,21-Jul-2018,"$2,200",1 gas outboard,1976,25',8',4',Maryland,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Tanzer 22,21-Jul-2018,"$3,000",1 gas outboard,1983,22',8',3.5',Maryland,fiberglass,monohull,cruiser,,1.0,good
Seaward 26 RK,20-Jul-2018,"$57,900",1 diesel inboard,2008,26',',',California,fiberglass,monohull,cruiser,,,excellent
AMF Trac 16,19-Jul-2018,$750,,1983,16',8',.75',Pennsylvania,fiberglass,catamaran,other,fractional sloop,,good
 Hardin 45,19-Jul-2018,"$49,000",1 diesel inboard,1981,45',13',5.5',California,fiberglass,monohull,cruiser,ketch,,good
Woodwind Catamaran,19-Jul-2018,"$850,000", diesel inboard,1999,65',32',5' 6',Florida,fiberglass,monohull,cruiser,masthead sloop,6.0,good
Beneteau Beneteau 440 3 Cabin version,19-Jul-2018,"$80,000",1 diesel inboard,1996,44',13',6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,fair
Maple Leaf Pilot House,19-Jul-2018,"$274,900",1 diesel inboard,1983,60',14' 9',6' 3',Florida,fiberglass,monohull,cruiser,,3.0,good
Pearson  USA J 35,19-Jul-2018,"$18,500",1 diesel inboard,1984,35',11.8',6.9',Rhode Island,fiberglass,monohull,racer,other,1.0,excellent
Hunter Cherubini 37 Cutter,19-Jul-2018,"$28,000",1 diesel inboard,1980,37',12',5',New York,fiberglass,monohull,cruiser,cutter,2.0,excellent
Catalina C 27,19-Jul-2018,$800,1 gas outboard,1971,26.8',8.10',4',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
Catalina 30,18-Jul-2018,"$29,900",1 diesel inboard,1981,32',11',5'5',Washington,fiberglass,monohull,cruiser,,,excellent
Pearson 34,18-Jul-2018,"$25,000",1 diesel inboard,1984,34',11',5.11',Michigan,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Catalina Catalina 30,18-Jul-2018,"$9,000",1 diesel inboard,1984,30',',',Maine,fiberglass,monohull,motorsailer,,2.0,excellent
West Wight Potter 19,18-Jul-2018,"$9,500", gas outboard,,19',',',Minnesota,fiberglass,monohull,cruiser,,,excellent
Ericson 32,17-Jul-2018,"$20,000",1 gas inboard,1972,32',',',California,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Beneteau 523,17-Jul-2018,"$340,000",1 diesel inboard,2006,52',16',',California,fiberglass,monohull,cruiser,fractional sloop,3.0,
Dyer Dhow Midget,17-Jul-2018,"$1,000", other inboard,1980,7.92',4.08',3.0',Connecticut,fiberglass,monohull,dinghy,cat boat,,fair
Chesapeake Light Craft CLC Southwestern Dory,17-Jul-2018,"$12,500",,2017,18',62',3',Florida,fiberglass,monohull,daysailer,,,excellent
Crawford Melonseed Melonseed Skiff,17-Jul-2018,"$4,000", gas inboard,1994,13',4',1',Virginia,fiberglass,monohull,daysailer,other,,
Pearson Ensign,17-Jul-2018,"$14,500",1 gas outboard,1965,23',7',3',Maine,fiberglass,monohull,daysailer,schooner,,excellent
Catalina 350,16-Jul-2018,"$95,000",1 diesel inboard,2004,35',13',4.5',Florida,fiberglass,monohull,cruiser,other,2.0,excellent
San Juan 7.7,16-Jul-2018,"$1,400",1 gas outboard,81,26',9.5',4.0',New York,fiberglass,monohull,racer/cruiser,fractional sloop,1.0,good
Jensen Cal 21,15-Jul-2018,"$2,500",1 gas outboard,1971,20.5',6.67',4.3',Pennsylvania,fiberglass,monohull,daysailer,fractional sloop,1.0,good
Precision P23,15-Jul-2018,"$14,000", gas outboard,2000,23.5',8' 6',1' 11',Illinois,fiberglass,monohull,cruiser,,1.0,excellent
cal cal 21,14-Jul-2018,"$2,750", gas inboard,1975,21',7.5',.1-4'',Maine,fiberglass,monohull,daysailer,fractional sloop,1.0,excellent
McLaughlin Optimist,14-Jul-2018,"$2,800",,2007,7.75',3.666',',Louisiana,fiberglass,monohull,dinghy,cat boat,,excellent
Ovington Musto Performance Skiff,14-Jul-2018,"$8,000",,2014,15',2',0',Washington,composite,monohull,dinghy,other,,excellent
MacGregor 26S,14-Jul-2018,"$11,900",1 gas outboard,1995,26',7.8',6.33',Florida,fiberglass,monohull,daysailer,,,good
Open Bic ,13-Jul-2018,"$1,950",,2008,',',',Connecticut,other,monohull,dinghy,cat boat,,good
 Nichol's Lighting,13-Jul-2018,"$2,800", other inboard,,19',',',Michigan,fiberglass,monohull,racer/cruiser,,,good
pearson triton,13-Jul-2018,"$6,500",1 diesel inboard,1963,28.5',8',3.59',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Columbia T-23,12-Jul-2018,"$3,999",1 gas outboard,1974,23',7.92',1.08',Minnesota,fiberglass,monohull,cruiser,masthead sloop,,good
Tartan Pride 270,12-Jul-2018,"$9,000",1 gas outboard,,27',',',North Carolina,fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
chrysler sandpiper,12-Jul-2018,"$1,100",0 gas inboard,1974,22',"7' 9""'","4' 6""'",Michigan,fiberglass,monohull,daysailer,other,1.0,project boat
Catalina 30 mark 11 tall rig,12-Jul-2018,"$24,300",1 diesel inboard,1990,30',11',4',North Carolina,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Giovanni Ceccarelli ILC 25,12-Jul-2018,"$60,000",1 gas outboard,2005,26',9.6',4',Outside United States,other,monohull,racer,other,1.0,excellent
Catalina 30,12-Jul-2018,"$10,900",1 diesel inboard,1979,30',11',5.3',Michigan,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
