,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
78,2021-06-20,169000.0,2008,37.0,13.0,6.1,California,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,169000.0
79,2021-06-20,9995.0,1999,24.0,8.25,5.5,Missouri,fiberglass,cruiser,2.0,1,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2021,9995.0
82,2021-06-20,60000.0,1984,37.0,12.0,6.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2021,60000.0
83,2021-06-19,28000.0,1985,33.0,12.0,6.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,0,0,1,2021,28000.0
84,2021-06-19,29900.0,1983,32.0,10.0,5.0,Rhode Island,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,29900.0
85,2021-06-19,9500.0,1968,27.0,8.7,3.0,Michigan,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,9500.0
89,2021-06-18,6900.0,1962,30.0,9.0,5.0,Arizona,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,1,0,0,1,2021,6900.0
91,2021-06-18,10000.0,1975,30.0,12.0,5.0,Massachusetts,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,10000.0
92,2021-06-18,27500.0,1985,32.5,11.1,6.1,Iowa,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,27500.0
93,2021-06-17,6000.0,1982,15.0,7.6,2.0,Virginia,fiberglass,daysailer,0.0,0,0,1,0,outboard,1,1,0,0,0,1,0,0,0,0,2021,6000.0
94,2021-06-17,68000.0,1998,36.0,12.0,4.5,New Jersey,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,68000.0
95,2021-06-17,125000.0,1982,45.0,13.0,5.5,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2021,124999.99999999999
96,2021-06-16,6250.0,2000,17.0,17.0,3.0,Connecticut,composite,racer,0.0,0,0,0,0,motorless,0,0,0,0,0,1,0,0,0,0,2021,6250.0
98,2021-06-16,15000.0,1976,33.0,11.0,6.0,Rhode Island,fiberglass,racer,2.0,1,0,0,0,inboard,1,1,1,0,0,1,0,0,0,1,2021,15000.0
101,2021-06-16,18500.0,1984,30.0,10.75,3.1,Vermont,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,18500.0
103,2021-06-16,60000.0,76,41.0,13.0,4.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,1,0,0,1,0,1,2021,60000.0
105,2021-06-15,10000.0,95,26.0,16.0,2.6,Florida,fiberglass,cruiser,1.0,0,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2021,10000.0
110,2021-06-14,15000.0,1981,42.0,12.5,5.8,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,1,1,2021,15000.0
111,2021-06-14,1800.0,1969,24.0,7.3,3.0,Massachusetts,fiberglass,cruiser,1.0,1,1,0,0,motorless,0,1,1,0,0,0,1,0,0,0,2021,1800.0
