,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
1045,Cheoy Lee Clipper 48,16-Jul-2017,1979,48',13',6',Florida,"$86,000",fiberglass,monohull,cruiser,ketch,3,good
1046,J J/80,16-Jul-2017,2001,26.3',8.3',4.9',California,"$27,500",fiberglass,monohull,racer,fractional sloop,1,good
1047,Tartan 34C,15-Jul-2017,1971,"34'3""'",10.0',"3'4""'",New York,"$11,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1048,C&amp;C Mark II,15-Jul-2017,1974,27',9',4',Maine,"$12,900",fiberglass,monohull,cruiser,,,good
1049,Ericson 29,15-Jul-2017,1972,29',9',4',New York,"$15,000",fiberglass,monohull,cruiser,,,excellent
1050,C&amp;C Mark V,14-Jul-2017,1985,27',9'3',3'6',New York,"$4,900",fiberglass,monohull,cruiser,,,excellent
1051,Hughes Columbia 8.7,14-Jul-2017,1981,28'7',10',4'8',Ohio,"$19,000",fiberglass,monohull,cruiser,,,excellent
1052,Ericson 30 plus,14-Jul-2017,1986,30',11',6',Michigan,"$25,000",fiberglass,monohull,cruiser,fractional sloop,1,good
1053,Catalina 30,13-Jul-2017,77,30',11',5',Connecticut,"$7,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1054,MacGregor 26M,13-Jul-2017,2012,26',8',1',Delaware,"$23,500",fiberglass,monohull,motorsailer,,1,excellent
1055,Catalina 22,13-Jul-2017,1985,22',7.5',',Florida,"$8,400",fiberglass,monohull,daysailer,fractional sloop,,excellent
1056,Tanzer 22 - No Trailer,13-Jul-2017,1975,22',8',2',Maryland,"$3,650",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
1057,Mariner Ketch,13-Jul-2017,1971,31',9'9',4'5',Michigan,"$29,750",fiberglass,monohull,cruiser,ketch,,excellent
1058,Catalina Capri 26,13-Jul-2017,1996,26',',',Florida,"$11,500",fiberglass,monohull,cruiser,,1,good
1059,HOBIE HOBIE 16,13-Jul-2017,,',',',Texas,"$11,900",fiberglass,catamaran,cruiser,,,excellent
1060,Dyer Dhow 12.5 Blue Day Sailer,12-Jul-2017,1987,12.5',5',4',Connecticut,"$4,995",fiberglass,monohull,daysailer,other,,good
1061,Kettenburg sloop,12-Jul-2017,1963,50',14',6.8',California,"$70,000",wood,monohull,racer/cruiser,masthead sloop,2,good
1062,Com-Pac Hutchins SunCat,12-Jul-2017,2008,17.5',8',',New Hampshire,"$14,500",fiberglass,monohull,cruiser,cat boat,1,excellent
1063,AMF ,12-Jul-2017,1980,11.75',3.83',2.5',California,$400,fiberglass,monohull,cruiser,other,,good
1064,Hunter ,12-Jul-2017,1987,31',10',5',California,"$27,000",fiberglass,monohull,daysailer,ketch,3,excellent
1065,Pearson 10M,12-Jul-2017,1977,33',11',6',New York,"$20,000",fiberglass,monohull,racer/cruiser,,,excellent
1066,Lancer 28,11-Jul-2017,1978,28',8',2.83',California,"$3,500",fiberglass,monohull,daysailer,fractional sloop,,fair
1067,MFG Pintail Pintail,11-Jul-2017,1977,14',',',Washington,"$3,500",fiberglass,monohull,daysailer,other,0,good
1068,Pearson 31,11-Jul-2017,1988,31',10'10',3'8',Florida,"$19,800",fiberglass,monohull,cruiser,,1,excellent
1069,wellcraft mutineer,11-Jul-2017,1985,14',6',',Florida,"$1,400",fiberglass,monohull,daysailer,fractional sloop,,good
1070,Whityby Boatworks Alberg,11-Jul-2017,1966,30.2',8.5',4.5',Outside United States,"$23,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1071,lange Optimist,10-Jul-2017,2002,',',',Louisiana,"$1,200",fiberglass,monohull,dinghy,other,,excellent
1072,J24 pearson J24,10-Jul-2017,1984,24',',4',South Carolina,"$4,000",fiberglass,monohull,racer/cruiser,ketch,1,
1073,choey Lee ,10-Jul-2017,64,36',',',Michigan,"$15,000",wood,monohull,,,,project boat
1074,Scampi Mark IV,10-Jul-2017,1974,30',9',5'2',New Hampshire,"$8,000",fiberglass,monohull,cruiser,,,excellent
1075,Catalina Expo,10-Jul-2017,2016,12'5',5',',California,"$8,500",fiberglass,monohull,daysailer,,,excellent
1076,Pacific Seacraft Voyager 34' / Crealock double ender,10-Jul-2017,1984,34',10',4'9',New York,"$69,500",fiberglass,monohull,cruiser,cutter,1,excellent
1077,Elvstrom 1/2 ton,10-Jul-2017,1974,31.5',10.5',5.7',Outside United States,"$14,500",fiberglass,monohull,racer/cruiser,fractional sloop,2,good
1078,Piver Mariner,10-Jul-2017,1963,32',14',3',California,"$32,000",fiberglass,trimaran,racer/cruiser,other,1,good
1079,O'day 20,09-Jul-2017,1974,20',7'',14',Florida,"$3,850",fiberglass,monohull,cruiser,masthead sloop,1,good
1080,Lowell's Boat Shop Sailing Dory,09-Jul-2017,1988,15',5',.5',New Jersey,"$3,900",wood,monohull,daysailer,other,,excellent
1081,Catalina Capri 26,08-Jul-2017,1991,26',9.5',4.6',Arizona,"$16,500",fiberglass,monohull,cruiser,masthead sloop,,excellent
1082,O'Day 25,08-Jul-2017,1984,25',',',Washington,"$5,500",fiberglass,monohull,cruiser,,,excellent
1083,Farr59  built Gerarty sdiego ca 59' Farr design n129  RAN ex ORLANDA,08-Jul-2017,1984,58.8',16.50',9.92',Outside United States,"$190,000",composite,monohull,racer/cruiser,fractional sloop,3,good
1084,Catalina Catalina 30,07-Jul-2017,1979,30',11',5',Washington,"$14,500",fiberglass,monohull,daysailer,masthead sloop,1,good
1085,international marine west wight potter,07-Jul-2017,1974,15',8',5',California,"$2,500",fiberglass,monohull,racer/cruiser,other,1,excellent
1086,AMF Puffer,07-Jul-2017,,12',5',2',Ohio,$900,fiberglass,monohull,daysailer,fractional sloop,,excellent
1087,Dyer Boats 12 1/2,07-Jul-2017,,12.5',4',0.3',New Hampshire,"$3,000",fiberglass,monohull,dinghy,fractional sloop,,good
1088,Hinterhoeller Nonsuch 33,07-Jul-2017,1989,33',13',5',California,"$95,000",fiberglass,monohull,cruiser,,,excellent
1089,Com-Pac Legacy,06-Jul-2017,2009,17',',',Wisconsin,"$7,500",fiberglass,monohull,daysailer,,,excellent
1090,Pearson day sailer,06-Jul-2017,1974,33',11',4',Florida,"$9,500",fiberglass,monohull,daysailer,schooner,1,good
1091,Catalina 250 WB - Sold,06-Jul-2017,1995,26',8' 6',2',New Jersey,"$4,999",fiberglass,monohull,cruiser,masthead sloop,,good
1092,Hunter 23,05-Jul-2017,1984,23.5',8',2.25',Michigan,"$3,500",fiberglass,monohull,cruiser,fractional sloop,1,excellent
1093,beneteau Beneteau 49,05-Jul-2017,2008,49'6',14'8',5'10',,"$239,000",fiberglass,monohull,cruiser,fractional sloop,3,good
1094,Catalina 42 MKII,05-Jul-2017,2000,42',14',5',Virginia,"$149,000",fiberglass,monohull,cruiser,fractional sloop,3,excellent
1095,Tartan Marine Tartan sloop 30,05-Jul-2017,1976,30',10',5',Maine,"$8,500",fiberglass,monohull,daysailer,masthead sloop,1,good
1096,Hunter 23.5,04-Jul-2017,1996,23.5',8',"18""'",Alabama,"$6,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1097,Beneteau Beneteau Oceanis 390,04-Jul-2017,1992,39',12'10',4'6',Outside United States,"$75,000",fiberglass,monohull,cruiser,,2,good
1098,CATALINA 42 MKII,04-Jul-2017,2004,42',14',4'10',Florida,"$149,900",fiberglass,monohull,cruiser,masthead sloop,3,good
1099,Liberty 458,04-Jul-2017,1987,45.6',13',6.5',South Carolina,"$180,000",fiberglass,monohull,cruiser,cutter,2,excellent
1100,home built ,04-Jul-2017,2006,24',8',2',California,"$5,000",wood,monohull,,,1,fair
1101,Jeanneau 41 Deck Salon,03-Jul-2017,2015,41',13',7',California,"$279,000",fiberglass,monohull,cruiser,other,2,excellent
1102,Islander Freeport,03-Jul-2017,1980,41',13',5',Outside United States,"$45,000",fiberglass,monohull,cruiser,ketch,3,fair
1103,Pearson Tri cabin,03-Jul-2017,1989,36',11',5',Maryland,"$59,500",fiberglass,monohull,cruiser,,3,good
1104,Holm Lightening,03-Jul-2017,1973,19',6'6',',Illinois,$500,fiberglass,monohull,daysailer,fractional sloop,,project boat
1105,Dufour 4800,03-Jul-2017,1981,34'10',11',6'5',Connecticut,"$35,000",fiberglass,monohull,cruiser,,,excellent
1106,Surfglas Inc Prindle,28-Jul-2020,1985,18',',',Michigan,"$2,000",fiberglass,catamaran,racer/cruiser,cat boat,0,
1107,Home Built Bolger Stretch Micro,28-Jul-2020,1980,17',8',2.5',Texas,"$2,500",wood,monohull,other,yawl,1,
1108,C&amp;C Sloop,28-Jul-2020,1976,32',10',5'5',New Jersey,"$19,500",fiberglass,monohull,cruiser,,,excellent
1109,Merit Merit 25,28-Jul-2020,1981,25',8',4',Michigan,"$5,000",fiberglass,monohull,racer/cruiser,fractional sloop,1,good
1110,Freya F39,28-Jul-2020,1978,39',11'3',6'',California,"$55,000",fiberglass,monohull,cruiser,cutter,,excellent
1111,Samson ,27-Jul-2020,1976,37',11.4',5.9',Florida,"$19,900",fiberglass,monohull,cruiser,masthead sloop,1,good
1112,Morgan 45,27-Jul-2020,2005,46',11',6'1',Florida,"$79,000",fiberglass,monohull,cruiser,masthead sloop,,good
1113,Wellcraft Starwind 27,27-Jul-2020,1984,27',9.5',4.5',Illinois,"$6,500",fiberglass,monohull,cruiser,masthead sloop,1,fair
1114,Hake Seaward 22,27-Jul-2020,1986,22',8.4',3.5',Connecticut,"$6,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1115,Tayana 37,27-Jul-2020,1983,37',11.5',5.67',California,"$67,500",fiberglass,monohull,cruiser,cutter,2,good
1116,Pearson 10M,27-Jul-2020,1979,33',10',5'9',Pennsylvania,"$14,500",fiberglass,monohull,cruiser,,,excellent
1117,Corsair F28CC,27-Jul-2020,2000,28',19',3',Florida,"$52,000",fiberglass,trimaran,racer/cruiser,other,2,good
1118,Flying Scott ,27-Jul-2020,1996,19',6',4',Ohio,"$9,200",fiberglass,monohull,daysailer,fractional sloop,0,excellent
1119,Hunter ,27-Jul-2020,1978,30',10.17',5.25',California,"$15,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1120,Morris 28 LInda,26-Jul-2020,1989,28',9',4.33',Vermont,"$53,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1121,Pearson Sloop,25-Jul-2020,1976,30',9.5',5',Florida,"$19,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1122,Wauquiez Hood 38 Mk1,24-Jul-2020,1980,38',12',4.5',Massachusetts,"$39,900",fiberglass,monohull,racer/cruiser,masthead sloop,3,fair
1123,Columbia Challenger,24-Jul-2020,1965,24',8',3.33',North Carolina,$0,fiberglass,monohull,cruiser,masthead sloop,1,fair
1124,Tartan 30,24-Jul-2020,1979,30',10',5',New York,"$7,500",fiberglass,monohull,cruiser,masthead sloop,,good
1125,West Wight Potter 15,23-Jul-2020,2014,15',5.6',3',Alabama,"$9,500",fiberglass,monohull,daysailer,other,2,excellent
1126,Crowther Spindrift,23-Jul-2020,1988,40',20',3'6',Florida,"$95,000",fiberglass,catamaran,cruiser,masthead sloop,2,good
1127,Endeavour E37,22-Jul-2020,1980,37',11.7',4.6',Virginia,"$29,000",fiberglass,monohull,cruiser,cutter,,good
1128,Prout Event 34,22-Jul-2020,1989,34',15'7',2'6',New York,"$69,900",fiberglass,catamaran,cruiser,other,,excellent
1129,Custom Hull 39' South Sea Cutter Ketch,22-Jul-2020,1974,39.9',12.0',6.3',North Carolina,"$6,000",steel,monohull,cruiser,ketch,3,project boat
1130,Aphrodite 101,22-Jul-2020,1984,32'6',8',5'9',Massachusetts,"$15,000",fiberglass,monohull,racer,,,excellent
1131,Nacra Nacra 500,21-Jul-2020,2017,16'6',8'',',New York,"$10,500",fiberglass,monohull,cruiser,other,,good
1132,Island Packet Cutter,21-Jul-2020,1991,35',12',4'3',Florida,"$98,500",fiberglass,monohull,cruiser,cutter,,excellent
1133,Cape Cod Bullseye,21-Jul-2020,1962,15',5',2',Massachusetts,"$9,500",fiberglass,monohull,racer,,,excellent
1134,S2 9.2A,20-Jul-2020,1983,30',10.5',5',Minnesota,"$19,500",fiberglass,monohull,cruiser,masthead sloop,,excellent
1135,Catilina Capri Capri 25,20-Jul-2020,1989,25',',',Outside United States,"$8,000",fiberglass,monohull,racer/cruiser,schooner,1,good
1136,2014 nickels lightning,20-Jul-2020,2014,',',',New Jersey,"$13,000",fiberglass,monohull,racer/cruiser,other,0,excellent
1137,Hutchins Picnic Cat,20-Jul-2020,2006,14',6'6',38',Massachusetts,"$5,990",fiberglass,monohull,daysailer,cat boat,0,
1138,Stephenson Schooner,20-Jul-2020,1993,42',50',6',Texas,"$50,000",wood,monohull,cruiser,other,1,good
1139,Robertson &amp; Caine 2016 Leopard 40,20-Jul-2020,2016,40',22',4',Outside United States,"$195,000",fiberglass,catamaran,cruiser,fractional sloop,4,project boat
1140,Catalina 27 Tall Rig,20-Jul-2020,1983,27',',',Maryland,"$2,500",fiberglass,monohull,cruiser,,,good
1141,Newport 30 model III,20-Jul-2020,1984,30',8',5',Connecticut,"$15,000",fiberglass,monohull,cruiser,,,good
1142,Robertson and Caine Leopard,19-Jul-2020,2012,44',23',4.9',,"$329,000",fiberglass,catamaran,cruiser,fractional sloop,4,good
1143,Fountaine Pajot Taiti 80,19-Jul-2020,2016,80',34',4.9',Outside United States,"$890,000",fiberglass,catamaran,daysailer,cat boat,0,excellent
1144,Paceship Yachts 20,19-Jul-2020,1974,19.25',7.75',3',Illinois,"$1,700",fiberglass,monohull,daysailer,fractional sloop,1,good
1145,Columbia Sabre,19-Jul-2020,1966,32',6',4.5',Texas,"$5,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,project boat
1146,Tartan 34C,19-Jul-2020,1970,34',10',3'11',Florida,"$22,500",fiberglass,monohull,cruiser,masthead sloop,2,good
1147,Soling Racer,19-Jul-2020,1968,27',6',4.5',Georgia,"$2,500",fiberglass,monohull,racer,,0,project boat
1148,Cape Dory 27,18-Jul-2020,1981,27',8.5',4',Michigan,"$18,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1149,Catalina Catalina 22,18-Jul-2020,1982,22',7.67',',Massachusetts,"$6,500",fiberglass,monohull,cruiser,masthead sloop,,good
1150,Endeavour Endeavour 33,18-Jul-2020,1983,33',11.5',4.5',Florida,"$27,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1151,Catalina 30 TR,18-Jul-2020,1980,30',11',5',Michigan,"$9,500",fiberglass,monohull,cruiser,,,good
1152,Freedom Freedom 25,18-Jul-2020,1984,25',9',4.5',Ohio,"$8,000",fiberglass,monohull,cruiser,cat boat,1,excellent
1153,Morgan 32M,18-Jul-2020,1981,32',11.9',4.5',Ohio,"$25,000",fiberglass,monohull,cruiser,,,good
1154,johnson c scow,17-Jul-2020,1999,20',7',3',California,"$1,500",fiberglass,monohull,daysailer,cat boat,0,excellent
1155,Pacific Seacraft 25 Double Ender,16-Jul-2020,1976,25',8',2',New Mexico,"$10,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1156,Nimble Boats Nimble 20,16-Jul-2020,1987,20',7',1',New York,"$8,900",fiberglass,monohull,cruiser,yawl,1,excellent
1157,O'Day 272,16-Jul-2020,1986,27',9',4',Pennsylvania,"$5,000",fiberglass,monohull,cruiser,schooner,1,good
1158,J Boat J80,16-Jul-2020,2002,26',8',5',New York,"$20,500",fiberglass,monohull,racer,,1,good
1159,O'Day 272 Winged Keel,16-Jul-2020,1987,27',9'2',2'10',New York,"$8,500",fiberglass,monohull,cruiser,,,good
1160,Beneteau Oceanis 4300,16-Jul-2020,1986,43',14',6',Massachusetts,"$85,000",fiberglass,monohull,cruiser,,,excellent
1161,Catalina 250 Wing Keel,15-Jul-2020,2006,26.11',08.06',3',Texas,$,fiberglass,monohull,cruiser,masthead sloop,1,
1162,Bristol Corsair,15-Jul-2020,1966,24',',',South Carolina,"$7,500",fiberglass,monohull,cruiser,,,good
1163,O'day O'day 37,15-Jul-2020,1980,37',12',6',Outside United States,"$20,000",fiberglass,monohull,cruiser,masthead sloop,3,good
1164,,15-Jul-2020,,44'8',12'9',6',Michigan,"$8,000",fiberglass,monohull,cruiser,,,project boat
1165,Pearson 35,15-Jul-2020,1975,35',',3.75',North Carolina,"$15,000",fiberglass,monohull,cruiser,,2,fair
1166,Morgan Classic,15-Jul-2020,1969,41',11'3',4'2',North Carolina,"$39,000",fiberglass,monohull,cruiser,,,excellent
1167,Coronado 25,14-Jul-2020,1968,25',8',3.67',Georgia,"$5,850",fiberglass,monohull,cruiser,masthead sloop,1,good
1168,catalina 42 MKII,13-Jul-2020,2001,42',13-10',4-10',Wisconsin,"$157,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
1169,Starwind 27 SD,13-Jul-2020,1984,27',9.67',3.75',New Jersey,"$12,500",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
1170,Macgegor 26,13-Jul-2020,1988,26',7.82',5.5',California,"$9,000",fiberglass,monohull,cruiser,fractional sloop,2,good
1171,j boat 40,13-Jul-2020,1986,40',10',6.6',Rhode Island,"$105,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
1172, Etchells 22,13-Jul-2020,1977,22',7',',New York,"$2,500",fiberglass,monohull,daysailer,fractional sloop,,good
1173,Prindle catamaran,13-Jul-2020,1982,16',-',-',Virginia,"$2,500",fiberglass,catamaran,,other,0,good
1174,Marieholm MS-20,13-Jul-2020,1975,20',7'3',2'10',Colorado,"$5,000",fiberglass,monohull,cruiser,,,good
1175,Capital Yachts Newport 30 MK lll,12-Jul-2020,1986,30',10',5',South Carolina,"$10,000",fiberglass,monohull,motorsailer,masthead sloop,,good
1176,Ryder hull  Maine craftsman bult Southern Cross 31,12-Jul-2020,,31',9.5',',Maine,"$28,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1177,Catalina 380 cc,11-Jul-2020,1997,38',12.4',5.2',Florida,"$64,000",fiberglass,monohull,racer/cruiser,,2,excellent
1178,Allen lightning,11-Jul-2020,1972,19',',',New York,"$3,000",fiberglass,monohull,daysailer,other,0,excellent
1179,Irwin 32 and a half,11-Jul-2020,1975,33',10'4',8',California,"$29,500",fiberglass,monohull,cruiser,other,2,good
1180,Aquarius pilot cutter 24,10-Jul-2020,1979,30',10',4',Florida,"$19,900",fiberglass,monohull,cruiser,cutter,1,excellent
1181,Endeavour E37,10-Jul-2020,1977,37',11.8',4.5',Florida,"$27,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1182,Hunter JY15,10-Jul-2020,1997,15' 9',5' 8',3'9',New York,"$1,250",composite,monohull,dinghy,,,good
1183,McLaughlin McLauhlin Bluemagic Opti  Optimist,09-Jul-2020,2015,8',4',',California,"$2,350",fiberglass,monohull,dinghy,other,,excellent
1184,Pearson ,08-Jul-2020,1974,26',8.67',4',New York,"$3,000",fiberglass,monohull,cruiser,,1,good
1185,Little Harbor 50 aft cockpit,01-Jan-2019,1983,50',15',5'6',Outside United States,"$215,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
1186,Herreshoff Meadowlark Wooden Ketch,30-Dec-2018,1960,33',8.5',1'3',Oregon,"$4,900",wood,monohull,cruiser,ketch,1,good
1187,catalina 27,30-Dec-2018,83,27',8.8',4.8',Connecticut,"$13,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1188,Hunter 376,30-Dec-2018,1997,37.5',12.5',5',North Dakota,"$65,500",fiberglass,monohull,cruiser,fractional sloop,3,good
1189,Plas Trend Corp PT-22 1/4 ton plas trend 22,30-Dec-2018,1970,22',7',5',Georgia,"$1,500",fiberglass,monohull,cruiser,masthead sloop,1,
1190,Pearson P26,30-Dec-2018,1973,26',8.67',5',Georgia,"$1,950",fiberglass,monohull,cruiser,masthead sloop,2,fair
1191,Hobie Cat 18,30-Dec-2018,1976,18',8',2.5',Georgia,$950,fiberglass,catamaran,other,masthead sloop,,project boat
1192,Spencer Sun 28,30-Dec-2018,1978,28',9',5',Georgia,"$1,950",fiberglass,monohull,cruiser,masthead sloop,2,project boat
1193,O'day 23-2,30-Dec-2018,1976,23',8',5',Georgia,"$1,200",fiberglass,monohull,cruiser,masthead sloop,1,fair
1194,Nichols and Holman Lightning,29-Dec-2018,1984,19',',',Michigan,"$4,300",fiberglass,monohull,daysailer,,,good
1195,Bavaria Vision 46,29-Dec-2018,2014,46',13.9',7',California,"$305,000",fiberglass,monohull,cruiser,fractional sloop,2,excellent
1196,Catalina 22 MKII,29-Dec-2018,1982,23.83',8.33',3.5',Georgia,"$1,500",fiberglass,monohull,cruiser,masthead sloop,1,fair
1197,Catalina MKII,29-Dec-2018,1982,21.50',7.67',5.00',Georgia,"$1,700",fiberglass,monohull,daysailer,masthead sloop,,fair
1198,Catalina C25,29-Dec-2018,1970,25',8',4',Georgia,$,fiberglass,monohull,cruiser,masthead sloop,1,fair
1199,Hunter 33,29-Dec-2018,1978,32.67',10.17',5.25',Georgia,"$7,500",fiberglass,monohull,cruiser,masthead sloop,3,fair
1200,Willard 8 Ton,28-Dec-2018,1975,30',10'6',4'8',Massachusetts,"$24,900",fiberglass,monohull,cruiser,cutter,1,good
1201,Catalina Yachts CP-14.2,27-Dec-2018,1988,15',6',3.5',Kansas,$800,fiberglass,monohull,cruiser,,0,fair
1202,Conyplex Holland Contest,27-Dec-2018,1969,27',7.5',4.5',Massachusetts,"$3,500",fiberglass,monohull,motorsailer,masthead sloop,2,good
1203,Sabre Centerboard Sloop,27-Dec-2018,1985,32',10',4',Florida,"$24,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1204,Precision 23,24-Dec-2018,1990,23',8'6',1'11',Florida,"$7,000",fiberglass,monohull,cruiser,,,excellent
1205,Canadian Sailcraft CS40T,23-Dec-2018,1990,39.3',12.8',6'10',Florida,"$88,800",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1206,Jim Antrim Carbon Trimaran reduced 60k,22-Dec-2018,2002,40',34',',North Carolina,"$160,000",composite,trimaran,racer/cruiser,fractional sloop,2,good
1207,Corsair Corsair 31,22-Dec-2018,2006,31',22.5',1-5.5',Florida,"$140,000",fiberglass,trimaran,racer/cruiser,fractional sloop,1,excellent
1208,Beneteau Oceanis 461,19-Dec-2018,2001,46',13'11',5'9',Outside United States,"$169,900",fiberglass,monohull,cruiser,fractional sloop,2,good
1209,Pearson 33,19-Dec-2018,1974,33',',4',Florida,"$7,500",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1210,CAL CAL 25,19-Dec-2018,1974,25',8',4',Michigan,"$3,500",fiberglass,monohull,cruiser,masthead sloop,,fair
1211,Lagoon 450F,18-Dec-2018,2016,45',26',4',,"$615,000",fiberglass,catamaran,cruiser,,4,excellent
1212,Vagabond 47,18-Dec-2018,1985,47'',13'6',5'6',California,"$75,000",fiberglass,monohull,cruiser,ketch,,good
1213,Hunter Vision 32,18-Dec-2018,1991,32',11.4',4.3',Outside United States,"$36,000",fiberglass,monohull,cruiser,schooner,2,excellent
1214,Custom Crealock 37,17-Dec-2018,,37',11',6',California,"$42,000",fiberglass,monohull,cruiser,cutter,,good
1215,Lagoon 42,17-Dec-2018,2019,42',25.3',4.1',Outside United States,"$528,000",fiberglass,catamaran,cruiser,,3,excellent
1216,Irwin Citation,14-Dec-2018,1981,34.25',11.3',4',Oregon,"$22,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
1217,Beachcomber Dory,14-Dec-2018,1980,18'4',6',2',Maryland,"$5,000",fiberglass,monohull,daysailer,schooner,,good
1218,Morgan 250,13-Dec-2018,1970,25',8',2.5',Florida,"$2,000",fiberglass,monohull,daysailer,masthead sloop,,project boat
1219,Grampian G-30,13-Dec-2018,1975,30',9.5',4.67',Outside United States,"$19,000",fiberglass,monohull,cruiser,masthead sloop,,good
1220,Hans Christian Christina 52 Center cockpit,13-Dec-2018,1992,52',14',7.8',Connecticut,"$280,000",fiberglass,monohull,racer/cruiser,masthead sloop,3,excellent
1221,Bavaria 36,13-Dec-2018,2003,36',12',5',Outside United States,"$35,500",fiberglass,monohull,cruiser,,2,excellent
1222,Pearson 10M,13-Dec-2018,1977,33',11',6',New York,"$17,500",fiberglass,monohull,racer/cruiser,masthead sloop,,excellent
1223,Beileys B25,13-Dec-2018,1989,25',8'4',5',California,"$9,500",fiberglass,monohull,cruiser,,,good
1224,Concordia 41',13-Dec-2018,1953,41',10'2',5'10',Florida,"$24,000",wood,monohull,racer/cruiser,fractional sloop,2,good
1225,1988 ABLE / MORRIS,12-Dec-2018,1988,34',11'6',3.6-6',Outside United States,"$69,950",fiberglass,monohull,cruiser,cutter,2,excellent
1226,Owner Phill curran,12-Dec-2018,1977,47',11',7',Outside United States,"$35,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,fair
1227,William Garden Force 50 ketch motor-sailor,11-Dec-2018,1973,50',14',6'2''',Washington,"$75,000",fiberglass,monohull,motorsailer,ketch,3,good
1228,Cheoy Lee Offshore,11-Dec-2018,1977,41',12.9',6',South Carolina,"$6,500",fiberglass,monohull,cruiser,masthead sloop,2,project boat
1229,Nautor Swan 36-2,09-Dec-2018,1989,36',12',7',Florida,"$135,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1230,Endeavour 32 Sloop,09-Dec-2018,1979,32',9',4.6',Connecticut,"$12,400",fiberglass,monohull,cruiser,masthead sloop,2,good
1231,Tartan Tartan Offshore Cruising Ketch 42 FT,07-Dec-2018,1975,41-9',13-4',4-10',Outside United States,"$24,000",fiberglass,monohull,cruiser,ketch,3,good
1232,Leopard South Africa Leopard 38,07-Dec-2018,2010,38',19',3.1',Outside United States,"$245,000",fiberglass,catamaran,cruiser,fractional sloop,4,excellent
1233,Beneteau Oceanis 373,06-Dec-2018,2004,37',12',6',Maryland,"$75,000",fiberglass,monohull,cruiser,fractional sloop,2,excellent
1234,C&amp;C 24,06-Dec-2018,1976,24',8.76',4',Outside United States,"$10,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1235,Tripp 36,06-Dec-2018,1991,36',11'4',6'11',Connecticut,"$18,450",fiberglass,monohull,racer/cruiser,,0,good
1236,Ackerman Newporter 40,05-Dec-2018,1959,48',13.5',5',Massachusetts,"$6,000",composite,monohull,motorsailer,ketch,3,excellent
1237,Hunter 33 Cherubini,05-Dec-2018,1983,33',10-2',4',New Jersey,$,fiberglass,monohull,cruiser,masthead sloop,,
1238,Catalina ,05-Dec-2018,1986,22',',',Florida,"$6,000",fiberglass,monohull,,,,good
1239,san juan 30,05-Dec-2018,,30',10',6',California,"$9,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1240,Beiley B-25,04-Dec-2018,1989,25',8.3',5',California,"$7,000",fiberglass,monohull,racer,masthead sloop,0,good
1241,O'DAY 25,30-Nov-2018,1978,25',8',2.3',New Jersey,"$3,500",fiberglass,monohull,cruiser,fractional sloop,2,good
1242,X-Yachts X35,30-Nov-2018,2007,34.8',10.7',7.',Connecticut,$,fiberglass,monohull,racer/cruiser,fractional sloop,1,excellent
1243,MacGregor 26M,29-Nov-2018,2008,26',7'8',',California,"$24,500",fiberglass,monohull,cruiser,,,excellent
1244,Bruce roberts Offshore cutter,28-Nov-2018,85,37',12',6',Outside United States,"$12,000",fiberglass,monohull,racer/cruiser,,2,fair
1245,Hunter 26.5,27-Nov-2018,1988,26.5',9',3.5',Georgia,"$9,000",fiberglass,monohull,racer/cruiser,fractional sloop,2,good
1246,Catalina 30 SR,26-Nov-2018,1979,30',11',5-3',Ohio,"$19,495",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1247,Young Sun 35,25-Nov-2018,1983,35',11',5'6',California,"$29,000",fiberglass,monohull,cruiser,cutter,2,fair
