,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
6094,hunter 25.5,08-Oct-2013,1986,25.5',9',4.5',South Carolina,"$5,600",fiberglass,monohull,daysailer,masthead sloop,1,good
6095,PEARSON Cutter,08-Oct-2013,1981,36',11.6',4.6',Outside United States,"$69,500",fiberglass,monohull,cruiser,cutter,2,excellent
6096,West Marine Hard Bottom Avon,08-Oct-2013,2005,8'6',"4'6""'",.5',Florida,$900,fiberglass,monohull,dinghy,,0,excellent
6097,custom built Bruce Roberts,07-Oct-2013,2005,38',12',4'10',Florida,"$78,500",fiberglass,monohull,cruiser,yawl,1,excellent
6098,Hunter Cherubini,07-Oct-2013,1977,25',8',4',Maryland,"$5,200",fiberglass,monohull,cruiser,,1,excellent
6099,C&amp;C Mk1,06-Oct-2013,1971,35',9',5',Outside United States,"$36,800",fiberglass,monohull,cruiser,masthead sloop,2,good
6100,pearson dinghy,06-Oct-2013,,8',4',',Maryland,$500,fiberglass,monohull,dinghy,,,good
6101,Pearson 26,06-Oct-2013,1975,26',8',4',Connecticut,"$7,500",fiberglass,monohull,daysailer,other,,
6102,Tanzer T22,05-Oct-2013,1978,22',9',2.5'',Connecticut,"$4,500",fiberglass,monohull,daysailer,masthead sloop,1,good
6103,Beneteau Oceanis 473,05-Oct-2013,2005,47',14'2',6'11',New York,"$159,000",fiberglass,monohull,cruiser,,3,excellent
6104,Tartan 4100,04-Oct-2013,2008,41'3',13'6',5'4',Rhode Island,"$349,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
6105,US Yacht 22,04-Oct-2013,1981,22',',',Virginia,"$2,500",fiberglass,monohull,cruiser,,,fair
6106,,04-Oct-2013,,14',',',Georgia,$250,fiberglass,,daysailer,,,project boat
6107, Tanzer,03-Oct-2013,1978,26',',3 10',Outside United States,"$7,700",fiberglass,monohull,cruiser,,,excellent
6108,catalina 22,03-Oct-2013,1972,22',8',1.75',New Jersey,"$5,000",fiberglass,monohull,daysailer,masthead sloop,1,excellent
6109,Beneteau First 210,03-Oct-2013,1994,21',8.2',3-6',Ohio,"$10,500",fiberglass,monohull,cruiser,fractional sloop,1,excellent
6110, Precision,03-Oct-2013,2000,15',',',Ohio,"$3,500",fiberglass,monohull,daysailer,other,,excellent
6111,ISLAND 15,02-Oct-2013,1985,15',',',Pennsylvania,"$1,900",fiberglass,monohull,cruiser,,,good
6112,Beneteau 331,02-Oct-2013,2001,33',11.2',5.4',,"$75,960",fiberglass,monohull,other,other,,good
6114,parge inc scorpion,01-Oct-2013,,14',',',Florida,$300,fiberglass,,other,other,,good
6115,Jeanneau Jeanneau 53,30-Sep-2013,2011,53',15.7',5.11',Maryland,"$495,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
6116,Capri Day Sailer,30-Sep-2013,1995,14.2',',',Virginia,"$2,500",fiberglass,monohull,daysailer,schooner,,excellent
6117,Columbia 32,30-Sep-2013,2005,32',9.5',5',California,"$65,000",fiberglass,monohull,racer,fractional sloop,1,excellent
6118,O'Day ,29-Sep-2013,1980,28',11',4. 5',Maine,"$17,500",fiberglass,monohull,cruiser,,2,
6119,MAXI 95,29-Sep-2013,1976,32',10.58',4.80',Outside United States,"$25,000",fiberglass,monohull,motorsailer,masthead sloop,2,
6120,Great Midwest Thistle,28-Sep-2013,1988,17',',',New York,"$7,100",fiberglass,monohull,dinghy,fractional sloop,0,excellent
6121,C&amp;C Encounter,25-Sep-2013,1979,26',10',3'8',Michigan,"$9,500",fiberglass,monohull,cruiser,masthead sloop,1,good
6122,CS Yachts Traditional,25-Sep-2013,1984,36',',',Rhode Island,"$69,500",fiberglass,monohull,cruiser,,,
6123,Ouyang Aloha,25-Sep-2013,1969,27',10',5',New York,"$8,000",fiberglass,monohull,cruiser,masthead sloop,1,
6124,Beneteau First 305,25-Sep-2013,1985,30.5',10.5',5.5',Florida,"$21,800",fiberglass,monohull,,masthead sloop,1,good
6125,MacGregor 26 feet,23-Sep-2013,1991,26',',',Pennsylvania,"$8,500",fiberglass,monohull,cruiser,,,good
6126,bayfield bayfiled25,23-Sep-2013,,25',',',South Carolina,"$2,000",fiberglass,monohull,cruiser,masthead sloop,,project boat
6127,Hunter 45 Deck Salon,22-Sep-2013,2009,45',',5',New York,"$219,000",fiberglass,monohull,cruiser,,3,new
6128,Hunter DS,21-Sep-2013,2008,41',',',New York,"$175,000",fiberglass,monohull,cruiser,,,excellent
6129,Luger Leeward,19-Sep-2013,1974,16',75',',Pennsylvania,"$1,000",fiberglass,monohull,daysailer,other,1,excellent
6130,Grampian 30,19-Sep-2013,1970,30',10',4.5',New York,"$11,000",fiberglass,monohull,cruiser,masthead sloop,1,good
6131, J24,19-Sep-2013,,24',',',Michigan,"$6,000",fiberglass,monohull,racer,,,
6132,Catalina 16.5,19-Sep-2013,2013,17.2',7',4.5',California,"$10,500",fiberglass,monohull,daysailer,other,,new
6133,Macgregor 26,19-Sep-2013,1984,25',8',3',Florida,"$7,000",fiberglass,monohull,daysailer,cutter,1,excellent
6134,Customflex Flying Scot,19-Sep-2013,1967,19',6'9',4',Pennsylvania,"$3,000",fiberglass,monohull,daysailer,,,good
6135,Hunter 170,18-Sep-2013,2007,17',6',0',Washington,"$2,850",fiberglass,monohull,daysailer,fractional sloop,0,excellent
6136,Seidelmann 299,18-Sep-2013,1986,29.9',11',5.5',California,"$13,500",fiberglass,monohull,,,1,excellent
6137,Sovereign 5.0,17-Sep-2013,1981,17',8',2.5',Maryland,"$5,000",fiberglass,monohull,cruiser,fractional sloop,1,
6138,C&amp;C 36 Centerboard sloop,17-Sep-2013,1980,35.9',11.6',4',Connecticut,"$26,000",fiberglass,monohull,,masthead sloop,2,good
6139,Hunter 212,17-Sep-2013,2000,21',8',2',Massachusetts,"$3,300",composite,monohull,daysailer,,1,good
6140,Irwin 32.5,17-Sep-2013,1973,32.5',10',4',Texas,"$25,500",fiberglass,monohull,cruiser,masthead sloop,3,
6141,sparkman stephans Yankee,16-Sep-2013,1972,30',9',5',South Carolina,"$12,000",fiberglass,monohull,cruiser,schooner,1,excellent
6142,Hunter Cherubini,16-Sep-2013,1978,25',7.8',3.4',New Jersey,"$3,900",fiberglass,monohull,cruiser,masthead sloop,1,good
6143,Made by owner sailboat,16-Sep-2013,0,40',',',Outside United States,"$7,500",fiberglass,monohull,cruiser,other,,project boat
6144,Tillotson-Pearson J-24,16-Sep-2013,1980,24',9',4',North Carolina,"$13,000",fiberglass,monohull,racercruiser,fractional sloop,1,excellent
6145,Catalina 30,16-Sep-2013,1979,30',11',5',Connecticut,"$12,500",fiberglass,monohull,,masthead sloop,2,good
6146,Beneteau Oceanis 411,15-Sep-2013,2001,41'7',13'',5'7',Wisconsin,"$142,500",fiberglass,monohull,cruiser,fractional sloop,3,excellent
6147,Saber 28,15-Sep-2013,1977,28',',',Massachusetts,"$9,000",fiberglass,monohull,daysailer,masthead sloop,2,fair
6148,Catalina Swing Keel 22,15-Sep-2013,1986,22',',',North Carolina,"$5,200",fiberglass,monohull,cruiser,,,good
6149,Wellcraft Starwind,15-Sep-2013,1985,19',',',Connecticut,"$1,400",fiberglass,monohull,cruiser,other,1,good
6150,HUNTER 25-1983,13-Sep-2013,1983,25',8'',3.9'',Connecticut,"$4,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
6151,Vanguard Laser,12-Sep-2013,2002,',',',Connecticut,"$3,000",fiberglass,monohull,dinghy,other,,good
6152,Renken ,11-Sep-2013,1983,18'',6.33'',2'',Wisconsin,"$5,500",fiberglass,monohull,cruiser,fractional sloop,1,excellent
6153,C&amp;C ,11-Sep-2013,1980,24',',',New York,"$5,000",fiberglass,monohull,,,4,good
6154,C&amp;C 35-3,11-Sep-2013,1985,34' 8',11' 3',6' 5',Illinois,"$49,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
