,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
221,Robertson and Caine Leopard L40,39.3',20.1',3.8',2008,cruiser,fiberglass  catamaran,"Ft Pierce City Marina, Florida","$290,000",14-Mar-2022,2 diesel inboard
241,CAL CAL33 1985,33',11',6'2',1985,racer/cruiser,fiberglass  monohull,"Staten Island, New York","$25,000",15-Mar-2022,1 diesel inboard
261,Pearson 23,23',7' 11',2' 4',1979,cruiser,fiberglass  monohull,"west liberty, Ohio","$4,000",14-Mar-2022,1 gas outboard
281,Windrider ,17.4'',12.11',18',2002,daysailer,composite  trimaran,"Oarnge Beach, Alabama","$5,500",13-Mar-2022,0 other inboard
301,Cape Dory 36,36',10',5',1982,cruiser,fiberglass  monohull,,"$70,000",13-Mar-2022, diesel inboard
335,Bristol Bristol 29 Dinette,29' 1',9'2',4'',1968,racer/cruiser,fiberglass  monohull,"Port Clinton, Ohio","$6,500",12-Mar-2022,1 gas inboard
355,Beneteau First 456,46',14',7',1983,cruiser,fiberglass  monohull,"Grenada West Indies Caribbean, Outside United States","$53,000",12-Mar-2022,1 diesel inboard
375,beneteau Idylle 13.5,43',13',5.8',1984,cruiser,fiberglass  monohull,"Progreso Mexico, Outside United States","$60,000",13-Mar-2022,1 diesel inboard
395,Mason 43 Cutter,43',,,1982,cruiser,fiberglass  monohull,"Melbourne, Florida","$129,000",12-Mar-2022,1 diesel inboard
415,Macgregor 26m,26',9',2',2006,cruiser,fiberglass  monohull,"Englewood, Florida","$26,000",13-Mar-2022,1 gas outboard
435,Beneteau Oceanis 281,28'11',9'5',4',1999,cruiser,fiberglass  monohull,"League City, Texas","$45,000",12-Mar-2022,1 diesel inboard
455,Fountaine Pajot Helia 44,44',24.2',3.1',2017,cruiser,fiberglass  monohull,"Cartegena, Outside United States","$597,000",12-Mar-2022,2 diesel inboard
475,Passport 45,44'6',12'10',6'6',1981,cruiser,fiberglass  monohull,"San CarlosSonoraMexico, Outside United States","$40,000",11-Mar-2022, diesel inboard
495,Alberg 37,37',10'2',6',1969,cruiser,fiberglass  monohull,"San CarlosSonoraMexico, Outside United States","$28,000",11-Mar-2022, diesel inboard
515,Santa Cruz 50 Mark II Hull 27,50',12'-1',10',1983,racer,fiberglass  monohull,"Anacortes, Washington","$139,950",11-Mar-2022,1 diesel inboard
535,Young Sun 35,35',11',5.5',1981,cruiser,fiberglass  monohull,"Mazatlan Mexico, ","$60,000",11-Mar-2022,1 diesel inboard
555,Laser Vago,14',5'2',3'9',2015,racer,fiberglass  ,"Miami, Florida","$7,000",11-Mar-2022,
573,Soveral Marine Soveral 33,33',11',5'8',1983,racer,fiberglass  monohull,"Marina del Rey, California","$35,000",11-Mar-2022,1 gas outboard
593,Soverel 36 CB,36',,4  1',1978,racer/cruiser,fiberglass  monohull,"Fort Myers Shores, Florida","$21,000",10-Mar-2022,1 diesel inboard
613,Cape Dory CD25,25',,3',1974,cruiser,fiberglass  monohull,"Indian River State Marina, Delaware","$4,500",10-Mar-2022,1 gas outboard
633,C&C 33 MK I,33',10-6',5-6',1976,racer/cruiser,fiberglass  monohull,"Swansea, Massachusetts","$17,000",11-Mar-2022,1 gas inboard
653,Tohatsu MFS6,',,,2021,other,fiberglass  ,"Jacksonville, Florida","$1,250",10-Mar-2022, gas inboard
673,Catalina 36 MK 1.5 Tall Rig,36',12',5'9',1990,cruiser,fiberglass  monohull,"Douglas Michigan, Michigan","$59,000",10-Mar-2022,1 diesel inboard
693,Gulfstar 44 Motor Sailor,44'6',13'6',"3'9""'",1974,cruiser,fiberglass  monohull,"Miami, Florida","$44,900",10-Mar-2022, diesel inboard
713,RS Aero 7,13.2',4.7',1',2019,racer,fiberglass  monohull,"St Augustine, Florida","$9,500",10-Mar-2022,
731,ayana yacht meftare classic wooden,52',11',9.5',2007,cruiser,fiberglass  monohull,"fethiye turkey, ","$154,000",10-Mar-2022,1 diesel inboard
751,San Juan ,23',,,1982,cruiser,fiberglass  monohull,"Carlyle, Illinois","$6,000",09-Mar-2022,1 gas outboard
771,MacGregor ,25',8',2',1982,daysailer,fiberglass  monohull,"Escondido, California","$1,900",09-Mar-2022, gas outboard
791,Irwin citation,34',11',4',1985,cruiser,fiberglass  monohull,"Portsmouth, Virginia","$18,500",10-Mar-2022, diesel inboard
811,Sabre ,28',,,1975,,fiberglass  ,"Yarmouth, Maine","$19,900",09-Mar-2022,
827,C&C ,34',,,,,  ,"Harpswell, Maine","$29,500",09-Mar-2022,
841,Pearson ,31',10.9',5.9',1991,cruiser,fiberglass  monohull,"Madisonville, Louisiana","$29,000",08-Mar-2022,1 diesel inboard
861,Ericson E38-200,38',12',4'11',1988,cruiser,fiberglass  monohull,"Port Charlotte, Florida","$45,000",08-Mar-2022,1 diesel inboard
881,Macgregor 26M,26',8',1',2012,motorsailer,fiberglass  monohull,"Panama city Beach, Florida","$28,999",08-Mar-2022,1 gas outboard
901,Lyman Morse Seguin 40 Sloop,40',,,1986,,fiberglass  ,"Harpswell, Maine","$89,500",08-Mar-2022,
917,Laurent Giles Salar Ketch,40',,,1973,,  ,"Key West, Florida","$149,500",08-Mar-2022,
933,Freya Custom 39,39',11'6',6',2011,cruiser,fiberglass  monohull,"Rockland, Maine","$250,000",08-Mar-2022,1 gas inboard
953,Prout 45   1995-1996,45',21',3.5',1995,cruiser,fiberglass  catamaran,"Charleston, South Carolina","$209,900",09-Mar-2022,2 diesel outboard
973,Sabre S28 Mk 2,28',9'2',4'8',1976,cruiser,fiberglass  monohull,"Friendship, Maine","$18,000",08-Mar-2022,1 diesel inboard
993,Tartan 34 C,34',10',4',1968,cruiser,fiberglass  monohull,"Charlotte Harbor, Florida","$25,000",08-Mar-2022,1 gas inboard
1013,Hunter 36,35.5',12',4.8',2004,cruiser,fiberglass  monohull,"Green Cove Springs, Florida","$89,000",08-Mar-2022,1 diesel inboard
1033,Kennedy Kennedy 48,48',11.5',8',1978,cruiser,fiberglass  monohull,"Vancouver BC Canada V6H 3R4, Outside United States","$205,000",07-Mar-2022,1 diesel inboard
1053,Laser Laser,13'9',,,2001,dinghy,fiberglass  monohull,"Eustis, Florida","$3,000",07-Mar-2022,
1071,Beneteau Oceanis 351,35',12.5',5',1998,cruiser,fiberglass  monohull,"Dania Beach, Florida","$57,000",07-Mar-2022,1 diesel inboard
1091,Custom World Cruiser Steel Pilothouse,48',12',6',2000,cruiser,steel  monohull,"Juneau, Alaska","$399,000",07-Mar-2022,1 diesel inboard
1111,Beneteau oceanis 281,28.5',9.42',4',1996,cruiser,fiberglass  monohull,"East Hampton, New York","$31,999",08-Mar-2022,1 diesel inboard
1131,Hobie Hobie 16,16',,,1985,cruiser,fiberglass  catamaran,"Berkshires, Massachusetts","$1,900",07-Mar-2022,
1149,Ericson 29,29',,,74,cruiser,fiberglass  monohull,"Bloomington, Indiana","$6,000",08-Mar-2022, diesel inboard
1169,Vanguard Laser,14',,,1985,dinghy,fiberglass  monohull,"Point Pleasant, New Jersey","$1,500",07-Mar-2022,
1187,Prindle 18-2,18',8.5',2.08',1986,daysailer,fiberglass  catamaran,"Houston, Texas","$4,999",06-Mar-2022, other outboard
1207,Hobie 18,18',7',,1981,daysailer,fiberglass  catamaran,"Santa Cruz, California","$2,250",06-Mar-2022, gas inboard
1227,Catalina Catalina 25 Swing Keel Poptop,25',8',5',1984,cruiser,fiberglass  monohull,"Catskill, New York","$6,500",06-Mar-2022,1 gas outboard
1247,Bristol 32,32',9'8',4',1970,cruiser,fiberglass  monohull,"Pultneyville, New York","$8,000",06-Mar-2022, gas inboard
1267,Beneteau Farr 50,50',15.5',6',2000,racer/cruiser,fiberglass  monohull,"Virgin islands, Outside United States","$169,000",22-May-2022,1 diesel inboard
1287,American Marine Mayflower 40,52',16',6.5',1961,cruiser,wood  monohull,"Ft Myers area, Florida","$55,000",07-Mar-2022,1 diesel inboard
1307,Robertson & Caine Leopard 42 Owners Version,41'9',22'9',4'6',2004,cruiser,fiberglass  catamaran,"Shelter Bay Panama, ","$339,000",06-Mar-2022,2 diesel inboard
1327,Laser Laser,14',,,1982,dinghy,fiberglass  monohull,"Saint Leonard, Maryland","$1,200",06-Mar-2022,
1345,Catalina mk350,35',13',4'11',2008,cruiser,fiberglass  monohull,"Oyster Bay Harbor NY, New York","$129,900",07-Mar-2022,1 diesel inboard
1365,Bayfield B29,29',10',3.5',1987,cruiser,fiberglass  monohull,"St Petersburg, Florida","$19,000",06-Mar-2022, diesel inboard
1385,Tanzer 22,22',,,,daysailer,fiberglass  monohull,"Port Townsend, Washington","$6,500",06-Mar-2022,1 gas outboard
1403,Beneteau Oceanis 55,55',16.5',6',2013,cruiser,fiberglass  monohull,,"$315,000",05-Mar-2022,1 diesel inboard
1421,Catalina Capri,14.2',,3.5',1996,daysailer,fiberglass  monohull,"Scottsdale, Arizona","$2,900",05-Mar-2022,
1439,Hunter 46LE,46.1',14',5.5',2006,cruiser,fiberglass  monohull,"Ft Lauderdale, Florida","$169,000",05-Mar-2022,1 diesel inboard
1459,Gulfstar sloop,37',11.83',4.6',1976,cruiser,fiberglass  monohull,"Mazatlan Mexico, ","$48,000",04-Mar-2022,1 diesel inboard
1479,Kelsall Custom Catamaran,41',21',2',,cruiser,fiberglass  catamaran,"St Marys, Georgia","$60,000",03-Mar-2022,2 gas outboard
1497,Aqua Craft Bruce Roberts 45,45',13',5.5',1981,cruiser,fiberglass  monohull,"Labelle, Florida","$80,000",04-Mar-2022,1 diesel inboard
1517,Cal 2-25 REDUCED,25',9',4.5',1978,cruiser,fiberglass  monohull,"Cambridge, Maryland","$2,950",03-Mar-2022,1 gas outboard
0,Jeanneau Sun Odyssey 469,46',14.8',7.4',2015,cruiser,fiberglass  monohull,"Sausalito, California","$399,895",21-Aug-2015,1 diesel inboard
21,C&C 25,25',8.58',3.75',1973,cruiser,fiberglass  monohull,"Baltimore, Maryland","$7,000",21-Aug-2015,1 gas outboard
41,Catalina Catalina 27,27',7.9',3',1971,daysailer,fiberglass  monohull,"Seward, Alaska","$8,500",21-Aug-2015,1 gas outboard
61,WD Schock Santana 35,35',12',6'4',1979,racer/cruiser,fiberglass  monohull,"Lake Diefenbaker Saskatchewan Cda, Outside United States","$25,000",20-Aug-2015,1 diesel inboard
81,1980 Pearson 26,26'1',8'0',,1980,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts",$500,20-Aug-2015,
99,1978 Kels 22,22',7'6',2'0',,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts","$1,500",20-Aug-2015,
115,Cape Dory MS-300,30',10',4',1987,motorsailer,fiberglass  monohull,"Kingston, New York","$40,000",20-Aug-2015,1 diesel inboard
135,1974 Cape Dory 25,25'8',7'4',,,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts","$100,000",20-Aug-2015,
151,1982 Sovereign 23,23',8',3.5',1982,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts","$1,900",20-Aug-2015,
169,1972 Bristol 26,26',,,1972,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts","$2,500",20-Aug-2015,
187,Homebult Pathfinder  John Welsford,17',6',,2014,dinghy,wood  monohull,"Burlington, North Carolina","$21,000",20-Aug-2015, gas outboard
207,Nautor Swan 44,44',13'7',7'',2000,racer/cruiser,fiberglass  monohull,"Santa Barbara, California","$325,000",19-Aug-2015,1 diesel inboard
227,Jeanneau France Sun Odyssey 54DS,53.74',15.97',7.54',2006,motorsailer,fiberglass  monohull,"Split Croatia, Outside United States","$200,000",19-Aug-2015,1 diesel inboard
247,Ortona Navi Magdalus Terzo - LIR,115',24',13',1988,motorsailer,steel  monohull,"Croatia, Outside United States","$1,530,000",19-Aug-2015,2 diesel inboard
267,Wellcraft Starwind 27,26.67',9.67',4.92',1985,cruiser,fiberglass  monohull,"Northern, Alabama","$12,500",18-Aug-2015,1 gas outboard
287,Albin Vega 1972,27',,,1972,cruiser,fiberglass  monohull,"Panama, Outside United States","$7,800",18-Aug-2015, gas outboard
307,Hunter Cherubini,30',10'2',3'10',1978,cruiser,fiberglass  monohull,"Shellman Bluff, Georgia","$8,300",18-Aug-2015,1 diesel inboard
327,Catalina Tall Rig,30',10',4',1995,cruiser,fiberglass  monohull,"Racine, Wisconsin","$45,000",18-Aug-2015,1 diesel inboard
347,Andrew J Potito Sam Crocker Salley Rover,20',7.7',2.0',1994,cruiser,fiberglass  monohull,"Northeast Sailboat Rescue  Freeport, Maine","$22,995",18-Aug-2015,1 gas outboard
367,Neptune Neptun 26,7.85',,2.50',1977,,  ,"Finland, ","$3,100",18-Aug-2015,
383,Gulfstar Sail Master,47',13.10',5.6',1979,cruiser,fiberglass  monohull,"Florida, Florida","$150,000",17-Aug-2015,1 diesel inboard
403,Morgan Yachts 28' Sloop Cruiser,28',9',6',1970,cruiser,fiberglass  monohull,"BiValve Maryland, Maryland","$6,500",17-Aug-2015,1 gas inboard
423,Irwin Citation,34',13',4',82,cruiser,fiberglass  monohull,"port clinton, Ohio","$28,500",16-Aug-2015,1 diesel inboard
443,S2 S2 7.9,26',9',1-5',1983,racer/cruiser,fiberglass  monohull,"Punta Gorda, Florida","$10,500",16-Aug-2015,1 gas outboard
463,pearson pearson 365,36.5',11.5',4.5',1976,cruiser,fiberglass  monohull,"Green Cove Springs, Florida","$42,500",16-Aug-2015,1 diesel inboard
483,Pearson 27,27',9',3.3',1988,cruiser,fiberglass  monohull,"North East, Maryland","$9,500",16-Aug-2015,1 diesel inboard
503,Bristol Sail Star,26',8',3.82',,daysailer,fiberglass  monohull,"New Bedford, Massachusetts","$7,500",16-Aug-2015, gas outboard
521,Catalina 30 Tall Rig,30',10-10',"4-4""'",1977,cruiser,fiberglass  monohull,"Toms River, New Jersey","$9,250",16-Aug-2015,1 gas inboard
541,S2 8C,26',"9'6""'",2.5',1974,motorsailer,fiberglass  monohull,,"$6,950",15-Aug-2015,1 diesel inboard
559, JY 15,15',,,1990,daysailer,composite  monohull,"Lake Norman, North Carolina",$800,15-Aug-2015, gas inboard
579,Seidlemann S25,24'6',9'6',4'4''',1980,racer/cruiser,fiberglass  monohull,"Union River Bay Trenton, Maine","$4,000",15-Aug-2015,1 gas outboard
599,Ericson E27,27',9',3'-11',1976,racer/cruiser,fiberglass  monohull,"Stony Creek Branford, Connecticut","$8,500",15-Aug-2015,1 gas inboard
619,Grampian Marine Grampian 26,26',8.3',4.3',1975,cruiser,fiberglass  monohull,"Bridge Point Marina, North Carolina","$5,000",14-Aug-2015,1 gas outboard
639,Hobie Cat ,14',,,,other,fiberglass  catamaran,"Near Charlotte, North Carolina","$1,250",14-Aug-2015,
655,Hunter 30 Cherubini,30',11',4',1981,cruiser,fiberglass  monohull,"Worton Creek, Maryland","$10,500",14-Aug-2015,1 diesel inboard
675,Beneteau First 30e,30',10',5.5',1983,racer/cruiser,fiberglass  monohull,"New London, Connecticut","$42,500",14-Aug-2015,1 other inboard
695,Boston Whaler Squall sailing & row,',,,,cruiser,fiberglass  monohull,"fairport, Ohio","$1,200",13-Aug-2015, gas inboard
713,Sam Cunningham 1890's Style Nova Scotia Fishing Schooner,75',16.9'',8'',1975,cruiser,wood  monohull,"Alameda estuary, California","$195,000",13-Aug-2015,2 diesel inboard
733,Southcoast 22,22',,4',1973,cruiser,fiberglass  monohull,"Lake jackson, Texas","$1,800",13-Aug-2015,0 gas outboard
753,Precision 185,18.5',7.3',4.8',2002,daysailer,fiberglass  monohull,"Sussex County, New Jersey","$12,000",13-Aug-2015,1 gas outboard
773,Coronado ,35',12',5',1975,daysailer,fiberglass  monohull,"Cape Coral, Florida","$24,900",13-Aug-2015,1 diesel inboard
793,Hunter 23,23',,,1987,cruiser,fiberglass  monohull,"Montauk, New York","$4,800",13-Aug-2015,1 gas outboard
813,San Juan 21 Mark 2,21',8',5',1978,daysailer,fiberglass  monohull,"Spokane area, Washington","$4,800",13-Aug-2015,1 gas outboard
833,American Marine West Wight Potter 15,15',4.5',2.5',2009,cruiser,fiberglass  monohull,"Hartland, Michigan","$7,500",13-Aug-2015,1 gas outboard
853,Tanzer sloop,26',6.5',3.2',1971,daysailer,fiberglass  monohull,"brownsville, Washington","$4,500",12-Aug-2015,2 diesel inboard
873,1974 Herreshoff Catboat,"18'2""'","8'0""'","1'10""'",1974,daysailer,fiberglass  monohull,"Wellfleet, Massachusetts","$7,900",12-Aug-2015,
891,McGregor x,26',,,1995,cruiser,fiberglass  monohull,"Ontario Canada, Outside United States","$20,000",12-Aug-2015,1 gas outboard
911,Catalina Mk1 3-Cabin Pullman,42',13.7',6',1992,racer/cruiser,fiberglass  monohull,"Marina del Rey, California","$94,900",11-Aug-2015,1 diesel inboard
931,Dufour 27,27',9',5',1973,cruiser,fiberglass  monohull,"Lake Champlain, New York","$6,900",11-Aug-2015,1 diesel inboard
951,Jeanneau Sunfast,35.5',11.6',6'6',2004,racer/cruiser,fiberglass  monohull,"Marina Del Rey, New York","$86,000",11-Aug-2015, diesel inboard
971,Hunter H27,27',9' 8',3' 6',2008,cruiser,fiberglass  monohull,"South Bristol, Maine","$50,000",11-Aug-2015,1 diesel inboard
991,McGregor 26X,26',,,1995,cruiser,fiberglass  monohull,,"$20,000",11-Aug-2015, gas outboard
1009,Hunter 28.5,28.5',10.6',5.2',1985,cruiser,fiberglass  monohull,"Oakville, Outside United States","$21,550",10-Aug-2015,1 gas inboard
1029,Seth Persson ,39',11.6',6',1956,cruiser,wood  monohull,"Orland, Maine","$75,000",10-Aug-2015,1 diesel inboard
1049,Pearson P 30 William Shaw Design,30',9.6',5.5',1972,cruiser,fiberglass  monohull,"Yarmouth, Maine","$12,000",10-Aug-2015,1 gas inboard
1069,ERICSON 32,32',10',6',1984,daysailer,fiberglass  monohull,"Lake City Marina, Minnesota","$28,500",10-Aug-2015,1 diesel inboard
1089,Boston Whaler Harpoon 5.2,',,,,cruiser,fiberglass  monohull,"Summerfield, Florida","$4,500",10-Aug-2015,
1105,Catalina 25,25',8',2.75',1985,cruiser,fiberglass  monohull,"Albany--Sacandaga Lake, New York","$4,500",09-Aug-2015,1 gas outboard
1125,pearson Ensign,22.50',7.00',3.0',1964,racer/cruiser,fiberglass  monohull,"Charlotte, North Carolina","$7,000",09-Aug-2015,
1143,Hunter 25,25',8',3',1983,cruiser,fiberglass  monohull,"Chicago, Illinois","$8,000",09-Aug-2015,1 gas outboard
1163,Jeanneau Sun Odyssey 509,50',15',8',2015,cruiser,fiberglass  monohull,"Sausalito, California","$491,585",09-Aug-2015,1 diesel inboard
1183,Catalina Standard Rig Sloop,36',12',4'2',1988,daysailer,fiberglass  monohull,"Holland, Michigan","$59,900",09-Aug-2015,1 diesel inboard
1203,Catalina 25,25',8',,1981,cruiser,fiberglass  monohull,"Lake Lanier, Georgia","$6,500",09-Aug-2015,1 gas outboard
1223,Catalina Capri,25',9',4.5',1981,racer/cruiser,fiberglass  monohull,"Rowlett, Texas","$8,200",08-Aug-2015,1 gas outboard
1243,Edey & Duff Herreshoff  Doughdish,16',6',2.5',1995,daysailer,fiberglass  monohull,"Pocasset, Massachusetts","$23,000",08-Aug-2015,
1261,Walker Bay Model 10,9.8',4.9',,2008,dinghy,composite  monohull,"Staten Island, New York","$3,000",07-Aug-2015,
1279,Etap 38i,38',12.7',5.09',1990,cruiser,fiberglass  monohull,"Tongyeong Republic of Korea, Outside United States","$80,000",06-Aug-2015,1 diesel inboard
1299,PETERSON SERINDIPITY,43',13.3',5',1981,racer/cruiser,fiberglass  monohull,"NEWPORT BEACH, California","$29,900",06-Aug-2015, gas inboard
1319,O'Day 22,23',7.17',1.5',1989,daysailer,fiberglass  monohull,"Saint Petersburg, Florida","$6,000",06-Aug-2015,1 gas outboard
1339,hunter legend,33.5',11',4.6',1994,cruiser,fiberglass  monohull,"Punta Gorda, Florida","$44,900",06-Aug-2015,1 diesel inboard
1359,West Wight Plotter 19 P19,19',,,,daysailer,fiberglass  monohull,,"$4,500",06-Aug-2015,
1373,Catalina 30 Tall Rig,30',10',5',1984,cruiser,fiberglass  monohull,"East Chicago, Illinois","$19,000",05-Aug-2015, gas inboard
1393,Capital Yachts Neptune,24',,,1980,cruiser,fiberglass  monohull,"Alamitos Bay Long Beach, California","$4,000",05-Aug-2015,1 gas outboard
1413,Hunter Cherubini,27',,,1984,other,fiberglass  monohull,,"$6,400",05-Aug-2015, gas inboard
1431,Ericson ,29',9.25',4.33',1970,cruiser,fiberglass  monohull,"Cornucopia, Wisconsin","$4,500",05-Aug-2015,2 gas inboard
1469,Kadey Krogen 38,38',13',3',1987,cruiser,fiberglass  monohull,"Private Dock Indian Harbor Beach 32937, Florida","$25,000",04-Aug-2015,1 diesel inboard
1489,O'Day 222,22',,,1984,daysailer,fiberglass  monohull,"Riverfront Marina Newburgh, New York","$4,500",04-Aug-2015, gas outboard
1509,Bayliner Buccaneer,"25'4""'",8',4.67',1980,cruiser,fiberglass  monohull,"Emeryville SF BAY, California","$3,800",04-Aug-2015,1 gas inboard
0,Hake Seaward 23,24.5',,,1999,daysailer,fiberglass  monohull,"Miami, Florida","$12,000",03-Jan-2015,1 gas outboard
21,ta chaio TC41,41',11',6'6',,cruiser,fiberglass  monohull,"Comox BC, Outside United States","$39,000",03-Jan-2015,1 diesel inboard
39,Oysterman Skipjack,23',,,1982,daysailer,fiberglass  monohull,"Paicines, California","$3,000",02-Jan-2015,1 gas inboard
59,Jeanneau 49DS,49',14.8',5.4',2005,cruiser,fiberglass  monohull,"West Palm Beach, Florida","$280,000",02-Jan-2015,1 diesel inboard
79,Catalina 27 ft Tall Rig,27',8'10',4',1988,cruiser,fiberglass  monohull,"Bloomington, Indiana","$17,500",01-Jan-2015,1 diesel inboard
99,morgan 1970 Classic,35',10',4',1970,cruiser,fiberglass  monohull,"pompano, Florida","$6,000",30-Dec-2014,1 diesel inboard
119,O'day O'day,34',11'3'',4'3'',,cruiser,fiberglass  monohull,"Watson Marina  Miami Beach, Florida","$22,000",30-Dec-2014,1 diesel inboard
137,Hallber Rassy 49,49',13',8',1985,cruiser,fiberglass  monohull,"Turkey, Outside United States","$280,000",30-Dec-2014,1 diesel inboard
157,Aloha 32,32',11',4.5',1983,cruiser,fiberglass  monohull,"Alameda, California","$39,000",29-Dec-2014,1 diesel inboard
193,Rustler ,31',9.1',5.5',1967,cruiser,fiberglass  monohull,"Richmond, California","$35,000",27-Dec-2014,1 diesel inboard
213,Catalina 28 MK II,28',10.4',4',2005,cruiser,fiberglass  monohull,"Joe Pool Lake, Texas","$44,500",27-Dec-2014,1 diesel inboard
233,Custom Built Kenmore Washington 53' Bruce Roberts Pilot House,53',16.2',10',1989,motorsailer,steel  monohull,"Panama Pacific Side, Outside United States","$60,000",10-Jun-2022,1 diesel inboard
254,Alcort Sunfish,14',,,1980,dinghy,fiberglass  monohull,"Pensacola florida, Florida","$1,600",22-Dec-2014, gas inboard
274,Beneteau Oceanis 361,36',12.5',5.5',2002,cruiser,fiberglass  monohull,"Grenada Marine Grenada West Indies, Outside United States","$97,000",22-Dec-2014,1 diesel inboard
294,Bauer 12.5,"12'6""'",6'',"6""'",2007,daysailer,fiberglass  monohull,"Melbourne, Florida","$3,500",21-Dec-2014,0 gas outboard
314,JENSENMAR Cal25,25',8',4',1967,racer/cruiser,fiberglass  monohull,"Mission Bay, California","$1,600",21-Dec-2014, gas outboard
354,C&C 30,30',10',5',1977,racer/cruiser,fiberglass  monohull,"North Palm Beach, Florida","$25,500",20-Dec-2014,1 diesel inboard
374,Bristol 1969 Corsair,24',,,1969,daysailer,fiberglass  monohull,,"$1,200",20-Dec-2014, gas outboard
404,Lancer Motor Cruiser,28'9',9' 6',5.5',1986,cruiser,fiberglass  monohull,"Kemah, Texas","$10,500",20-Dec-2014, gas outboard
424,Hinterhoeller F-3 Frers 36,36',11'7',6'10',1982,racer/cruiser,fiberglass  monohull,"Buffalo, New York","$34,900",18-Dec-2014,1 diesel inboard
444,Bristol ,40',10'9',5'4',1970,cruiser,fiberglass  monohull,,"$75,000",18-Dec-2014, diesel inboard
462,ericson ,29',9.4',4.4',1973,cruiser,fiberglass  monohull,,"$9,500",18-Dec-2014,1 diesel inboard
480,Kennedy Sloop,51',14.5',6.5',1980,cruiser,fiberglass  monohull,"Mobile, Alabama","$47,000",17-Dec-2014, diesel inboard
500,cheoy lee ,27',7.9',4.5',1969,cruiser,fiberglass  monohull,,"$2,500",17-Dec-2014,1 diesel inboard
518,Dufour 445 Grand Large,44'3',14'3',7'3',2001,racer/cruiser,fiberglass  monohull,"Bayfield, Wisconsin","$249,900",16-Dec-2014,1 diesel inboard
538,International Folkboat Marieholm 26,26',,4.07',1976,racer,fiberglass  monohull,"sausalito, California","$8,000",15-Dec-2014,1 gas inboard
558,Pearson 28-1,29',9'3',4'6',1978,racer/cruiser,fiberglass  monohull,"Detroit MI, Michigan","$9,000",15-Dec-2014,1 gas inboard
578,Hardin Voyager,44.6',13.6',6',1979,cruiser,fiberglass  monohull,"Mazatlan Mexico, ","$99,000",12-Dec-2014,1 diesel inboard
598,Bayfield 32,32',10.5',3.9',1981,cruiser,fiberglass  monohull,"buffalo, New York","$6,500",10-Dec-2014,1 diesel inboard
618,catalina c-22,22',8',1.9-5',1972,cruiser,fiberglass  monohull,"Bremen, Indiana","$4,500",10-Dec-2014,1 gas outboard
638,Pearson P-30,30',9.5',5',1972,racer/cruiser,fiberglass  monohull,"Niagara Ontario, Outside United States","$2,600",10-Dec-2014,1 gas inboard
658,unknown snipe,16.5',7',,1940,daysailer,wood  monohull,"jacksonville, Florida","$6,000",10-Dec-2014,
676,Herrschoff Aramita Cutter,33',8.5',5',1982,daysailer,wood  monohull,"Marina Del Rey, California","$65,000",08-Dec-2014, diesel inboard
696,C&C 34,34',11.5',6',1979,racer/cruiser,fiberglass  monohull,"Menominee, Michigan","$26,500",08-Dec-2014,1 diesel inboard
716,Chantier Eloy Ketch Williwaw n5,43',13.12',6.4',1973,cruiser,steel  monohull,"Stavanger Norvege, Outside United States","$68,000",07-Dec-2014,1 diesel inboard
736,Columbia 30,30',9.5',5' 9',1972,cruiser,fiberglass  monohull,"Chula Vista, California","$10,000",07-Dec-2014,1 gas inboard
756,hunter ,30',10',4.5',1977,cruiser,fiberglass  monohull,"JEKYLL ISLAND, Georgia","$4,000",06-Dec-2014,1 diesel inboard
776,Marine Trader sailboat,37',12',4.9',1978,motorsailer,fiberglass  monohull,"florida east coast, Florida","$140,000",05-Dec-2014,1 diesel inboard
796,Cape Dory ,28',8.87',4',1978,cruiser,fiberglass  monohull,"Oriental, North Carolina","$5,500",04-Dec-2014,1 diesel inboard
816,Ericson Ericson 37 Masthead Sloop Cutter-rigged,37.5',11.3',5.75',1975,racer/cruiser,fiberglass  monohull,"Bay City, Michigan","$48,000",04-Dec-2014,1 diesel inboard
836,Custom Made Sailboat ,39.1',10.1',5.4',1983,cruiser,fiberglass  monohull,"Tarpon Spring, Florida","$26,500",02-Dec-2014,1 diesel inboard
856,Columbia 22,22',,"4'6""'",1969,daysailer,fiberglass  monohull,"Montrose new York Viking boat yard, New York","$1,500",02-Dec-2014, gas outboard
876,Kirie France FEELING 326,32.6',11.08',5.38',1989,racer/cruiser,fiberglass  monohull,,"$33,800",02-Dec-2014,1 diesel inboard
894,Torpen International Boats Multi 23,22'4',15'6',1'4',2012,daysailer,composite  trimaran,"Qingdao China, Outside United States","$32,500",01-Dec-2014,
912,C&C Redwing,30',8.5',4.5',1970,racer/cruiser,fiberglass  monohull,"Staatsburg, New York","$7,000",01-Dec-2014,1 gas inboard
932,Catalina C-22,22',7.67',3.5',1982,cruiser,fiberglass  monohull,"Treasure coast Florida, Florida","$4,200",01-Dec-2014,1 gas outboard
